"Award #","PI","Project Title","Sponsor","Sponsor Award Number","Prime Sponsor","instrument type","Award Start Date","Award End Date","Admin Unit","Obligated Amount","Total Project Cost"
"23-0655-A0001","Mark D. Andersen","Exchange of Information Between the Natural Heritage Programs - WY Database Exports","Forest Service/Department of Agriculture","1284N820P0118","Forest Service/Department of Agriculture","Contract",7/23/2020,5/31/2025,"Wyo Natural Diversity Database","10000",
"24-0533-A0001-0","Jonathan W. Naughton","NASA Langley OFI Support","Analytical Mechanics Associates","RSES-(University of Wyoming)","National Aeronautics and Space Administration","Contract",6/1/2023,5/31/2031,"Mechanical Engineering","0","0"
"24-0533-A0001-1","Jonathan W. Naughton","NASA Langley OFI Support","Analytical Mechanics Associates","RSES-(University of Wyoming)","National Aeronautics and Space Administration","Contract",6/1/2023,5/31/2031,"Mechanical Engineering","0.01","0"
"23-1222-A0001","Greg Lynn Kerr","Office of Water Programs 2022-2024","Wyoming Water Development Commission","221249","Wyoming Water Development Commission","Other",7/1/2022,6/30/2024,"VP for Research & Economic Development Office","175000",
"23-1183-A0001","Michael S. Brotherton","The Launch Pad Astronomy Workshop for Writers 2022","Science Fiction and Fantasy Writers of America, Inc.","0000007032","Science Fiction and Fantasy Writers of America, Inc.","Other",3/1/2022,12/31/2022,"Physics & Astronomy","4655",
"23-1157-A0001","Nevin Thomas Aiken","Developing More Impactful Experiential Learning: Best Practices for Faculty-Led Study Abroad Programs One-Day Workshop","The World Learning, Inc.","S-ECAGD-19-CA-0015","Bureau of Education and Cultural Affairs/Department of State","Contract",1/15/2022,11/30/2022,"Politics Public Affairs & International Studies","16965.18",
"23-0450-A0001","James Benjamin Chapman","Collaborative Research: Internal and external drivers of orogenic episodicity in the Ecuadorian Andes","National Science Foundation","1946662","National Science Foundation","Grant",5/1/2020,4/30/2023,"Geology & Geophysics","236676",
"24-0795-A0001","Emma Rose Mehl","Cardiac myocyte deletion of hypoxia-inducible factor - 1α exacerbates RV dysfunction in aging mice","American College of Sports Medicine",,,"Grant",2/15/2024,12/31/2024,"Kinesiology & Health","1000","1000"
"24-0325-A0001","Paige Elise Parry","Adaptive Management Modeling of Invasive Annual Grasses in the Northern Great Plains","National Park Service/Department of the Interior","P23AC02209-00","National Park Service/Department of the Interior","Cooperative Agreement",9/14/2023,9/14/2027,"Wyo Natural Diversity Database","128948.68","128948.68"
"23-0572-A0001","Brian Michael Sebade","Eastern Wyoming Fruit Demonstration and Research Orchard","Wyoming Department of Agriculture","202509","Agricultural Marketing Service/Department of Agriculture","Grant",7/15/2020,9/29/2022,"UW Extension","16413.66",
"24-0312-A0001",,"CARES ACT-Student Refund Expenses, Education-Related","Wyoming State Treasurer","COVID-373","Wyoming State Treasurer",,3/1/2020,12/30/2021,,"8453728.65",
"23-1217-A0001","David M. Aadland","Developing 2022 Prevailing Wage Estimates for Wyoming Department of Workforce Services 2","Wyoming Workforce Services","222370","Wyoming Workforce Services","Other",6/8/2022,6/30/2023,"Economics","50560",
"25-0426-A0001","Kyle D. Summerfield","WCCC WIP VR program - 4 tasks","Wyoming Community College Commission","NONE",,"Contract",1/29/2025,8/1/2025,"School of Energy Resources Directors Office","85187","85187"
"24-0149-A0001","Khaled Ksaibati","Wyoming T2 2023","Wyoming Department of Transportation","LTAP0223","Federal Highway Administration/Department of Transportation","Other",7/24/2023,4/23/2025,"Civil & Architectural Engineering & Construction Management","218750","250000"
"23-0751-A0001","Emilene Ostlind","Imagining Wyoming's Future: A Youth Vision for 2030","Wyoming Humanities Council","2021 Spark Grants","National Endowment for the Humanities","Grant",5/1/2021,4/30/2022,"Haub School of Environment & Natural Resources","2000",
