,Grant Number,Award Date,Proposal Number,Grant Title,State Name,Grantee Name,Award Dollars,Program Name,Program Area Name,Award Start Date,Award End Date,Award_Duration_Years,Award_Dollars_Per_Year
1,2024-67016-42386,5/23/2024,2023-07737,Pre-Harvest Heat Stress: Disruption Of Microbial Ecology And Subsequent Shelf-Life Of Raw Poultry Products,WYOMING,SAES - UNIVERSITY OF WYOMING,3e+05,"Animal Health and Production and Animal Products: Improved Nutritional Performance, Growth, and Lactation of Animals",Agriculture and Food Research Initiative,7/1/2024,6/30/2026,2,150000
2,2024-67016-42387,5/10/2024,2023-07722,"Novel methods for characterization of beef steer temperament and association with feed efficiency, metabolic profile, stress, health, and methane flux",WYOMING,SAES - UNIVERSITY OF WYOMING,3e+05,"Animal Health and Production and Animal Products: Improved Nutritional Performance, Growth, and Lactation of Animals",Agriculture and Food Research Initiative,8/1/2024,7/31/2026,2,150000
3,NI24AHDRXXXXG059,2/21/2024,N/A,N/A,WYOMING,UNIVERSITY OF WYOMING,18804,Animal Health and Disease Research Program,Animal Health Formula Program,10/1/2023,9/30/2025,2,9402
4,NI24EFNEPXXXG032,2/16/2024,N/A,N/A,WYOMING,UNIVERSITY OF WYOMING,278891,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs",10/1/2023,9/30/2028,5,55778.2
5,NI24HFPXXXXXG025,2/22/2024,N/A,N/A,WYOMING,UNIVERSITY OF WYOMING,1358635,Hatch Act of 1887,Hatch Formula Programs,10/1/2023,9/30/2025,2,679317.5
6,NI24HMFPXXXXG055,2/20/2024,N/A,N/A,WYOMING,UNIVERSITY OF WYOMING,774148,Hatch Act of 1887(Multistate Research Fund),Hatch Formula Programs,10/1/2023,9/30/2025,2,387074
7,NI24MSCFRXXXG079,2/22/2024,N/A,N/A,WYOMING,UNIVERSITY OF WYOMING,255757,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research,10/1/2023,9/30/2025,2,127878.5
8,NI24RREAFXXXG065,2/21/2024,N/A,N/A,WYOMING,UNIVERSITY OF WYOMING,47736,Renewable Resources Extension Act,Other Programs,10/1/2023,9/30/2025,2,23868
9,NI24SLBCXXXXG022,2/21/2024,N/A,N/A,WYOMING,UNIVERSITY OF WYOMING,1796271,Cooperative Extension Programs at 1862 Land-Grant Institutions,"Smith-Lever 3B, 3C, and 3D Programs",10/1/2023,9/30/2028,5,359254.2
10,NI24SLSNXXXXG007,2/20/2024,N/A,N/A,WYOMING,UNIVERSITY OF WYOMING,43951,Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs),"Smith-Lever 3B, 3C, and 3D Programs",10/1/2023,9/30/2028,5,8790.2
,,,,,,,4574193,,,,,,
