"Project Title","Proposal #","PI","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","epscor-idea","Proposed Total Amount","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","Total Sponsor Costs"
"The Airborne Interferometric and Polarimetric Synthetic Aperture Radar Permafrost Dynamics Observatory","23-0083-P0001",,"Closed",,,,,,,,,,,,,,
"Rx for Change: Tobacco Cessation Training in U.S. Schools of Pharmacy","24-0940-P0001","Nervana Elkhadragy","Closed","Purdue University","National Institutes of Health/Department of Health and Human Services","School of Pharmacy",4/1/2025,3/31/2030,"New",,,,,"67325","5386","72711","72711"
"Uncovering the Role of Pss Exopolysaccharide in Listeria monocytogenes Infectivity and Shedding","25-0531-P0001","Mark Gomelsky","In Development","National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services",,"Molecular Biology",10/1/2025,9/30/2027,"New",,"Neither/Not Applicable",,,"275000","100125","375125","316250"
"REU Site: A Community College Based REU Site for the Wyoming Region","24-0178-P0001","Elliott B. Hulley","Funded","National Science Foundation",,"Chemistry",5/1/2024,4/30/2027,"Renewal",,,,,"390553","34423","424977","424977"
"CPS: Medium: Collaborative Research: Collective Intelligence for Proactive Autonomous Driving (CI-PAD)","23-0348-P0001",,"Closed",,,,,,,,,,,,,,
"Mapping Bobcat Habitat across the State of Wyoming","23-0601-P0001",,"Closed",,,,,,,,,,,,,,
"Wyoming IDeA Networks for Biomedical Research Excellence","23-1526-P0002","Robert Scott Seville","Funded","National Institute of General Medical Sciences/National Institutes of Health/Department of Health and Human Services",,"INBRE Program",5/1/2023,4/30/2024,"Supplement",,,,,"200000","68795","268795","268795"
"Genetics of Cutthroat Trout in the Lamar River Watershed","23-0859-P0001",,"Closed",,,,,,,,,,,,,,
"DARPA YFA","24-0798-P0001","Zejian Zhou","Closed","Defense Advanced Research Projects Agency/Department of Defense",,"Electrical Engineering & Computer Science",8/1/2024,8/1/2027,,,,,,"787985.3"," $207840.06 "," $995825.36 "," $995825.36 "
"Mock Jurors Attitudes Towards Child Chronological Age and History of Grooming Prior to Child Sexual Abuse","25-0420-P0001","Jaylan Melek Aliev","Funded","Psi Chi International Honor Society in Psychology",,"Psychology",1/9/2025,12/31/2025,"New",,"Neither/Not Applicable",,,"2000","0","2000","2000"
