"Award #","PI","PI Unit","Admin Unit","Project Title","Sponsor","Prime Sponsor","Award Start Date","Award End Date","Obligated Amount","Project #","Total Expected Amount","Status","Created Date","Modification Number","Modification Type","Modification Date","Modified By","activity type","Admin Unit Primary Code","Award Id","Award Notice Received","budget end date","budget start date","cfda aln number","department","department Primary Code","Direct Costs","epscor idea funding","fain","History Action","History Action By","History Action Date","incrementally funded","indirect cost project type","indirect cost rate off","indirect cost rate on","Indirect Costs","Prime Sponsor Primary Code","project location","proposal type","Resolution","Sponsor Award Number","Sponsor Org Type","Sponsor Primary Code","sponsor type","Total Cost Share","Total Project Cost"
"23-0038-A0001","Kelly Keith Crane","UW Extension","UW Extension","FFY17 (2016-21) Smith Lever Main","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2016","9/30/2021",1740400,"23-0038",,"Closed","4/24/2023 06:19:57 PM",0,"Original Award",,,,300000007170503,"0b6f0a89-bde7-4233-a028-3164bf5bfb34",,"9/30/2021","10/1/2016","10.500",,,,,"20174110005100","Award Created","Legacy Loader","4/24/2023 06:19:56 PM",,"Research",,,,"01-USDANIFA","On Campus",,"Admin Closed","NI17SLBCXXXXG001",,"01-USDANIFA",,,
"23-0039-A0001","Melinda Denise Meuli","UW Extension","UW Extension","FFY17 (2016-21) EFNEP Main","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2016","9/30/2021",275720,"23-0039",,"Closed","4/24/2023 06:20:00 PM",0,"Original Award",,,,300000007170503,"1e503b2e-54c7-4984-a947-e8f57bccc10e",,"9/30/2021","10/1/2016","10.500",,,,,"20174151005100","Award Created","Legacy Loader","4/24/2023 06:20:00 PM",,"Research",,,,"01-USDANIFA","On Campus",,"Admin Closed","NI17EFNEPXXXG044",,"01-USDANIFA",,,
"23-0085-A0001","Randa Jabbour","Plant Sciences","Plant Sciences","Decision Support to Quantify GHG Mitigation and Ecosystem Services from Organic Production Systems","Colorado State University","National Institute of Food and Agriculture/Department of Agriculture","3/1/2017","8/31/2021",49068.36,"23-0085",,"Closed","4/24/2023 06:22:41 PM",0,"Original Award",,,,300000007170664,"e68f9a3c-788c-40af-8f36-e158c667bc48",,"8/31/2021","3/1/2017","10.303",,,,,"20165110625712","Award Created","Legacy Loader","4/24/2023 06:22:40 PM",,"Research",,,,"01-USDANIFA","On Campus",,"Admin Closed","G-13521-2",,"06-CSU",,,
"23-0120-A0001","Scott P. Schell","Ecosystem Science & Management","Ecosystem Science & Management","UW-IPM Extension Team Crop Protection and Pest Management-Extension Implementation Program Projects","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/1/2017","8/31/2022",670166.54,"23-0120",,"Closed","4/24/2023 06:24:38 PM",0,"Original Award",,,,300000007170672,"342a8c9a-6075-4806-8254-be9e0db8b173","9/15/2017","8/31/2022","9/1/2017","10.329",,,,,"2017700627281","Award Created","Legacy Loader","4/24/2023 06:24:38 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","2017-70006-27281",,"01-USDANIFA",,,
"23-0121-A0001","Amanda Renee Hitshew-Small","UW Extension","UW Extension","Wind River Federally Recognized Tribes Extension Program","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/1/2017","8/31/2022",453210.76,"23-0121",,"Closed","4/24/2023 06:24:42 PM",0,"Original Award",,,,300000007170503,"552bb511-010c-465e-9b78-4573b4aea80f","7/14/2017","8/31/2022","9/1/2017","10.500",,,,,"20174158026918","Award Created","Legacy Loader","4/24/2023 06:24:42 PM",,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","2017-41580-26918",,"01-USDANIFA",,,
"23-0131-A0001","Jenna Meeks","UW Extension","UW Extension","Western SARE/NACAA Fellows Program 2017-2018","Utah State University","National Institute of Food and Agriculture/Department of Agriculture","9/1/2017","6/30/2022",448082.42,"23-0131",,"Closed","4/24/2023 06:25:17 PM",0,"Original Award",,,,300000007170503,"7876968f-ce0a-4992-8268-e50effd4cc82",,"6/30/2022","9/1/2017","10.215",,,,,"2017386402691","Award Created","Legacy Loader","4/24/2023 06:25:16 PM",,"Other Sponsored Activities",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","201207-486",,"06-UTSTUNV",,,
"23-0135-A0001","Melinda Denise Meuli","UW Extension","UW Extension","FFY18 (2017-2022) EFNEP Main","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2017","9/30/2022",275921,"23-0135",,"Closed","4/24/2023 06:25:30 PM",0,"Original Award",,,,300000007170503,"151948ec-89b2-4360-8a79-466369188691",,"9/30/2022","10/1/2017","10.500",,,,,,"Award Created","Legacy Loader","4/24/2023 06:25:29 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","NI18EFNEPXXXG041",,"01-USDANIFA",,,
"23-0144-A0001","Kelly Keith Crane","UW Extension","UW Extension","University of Wyoming Extension Programs: Smith Lever 3b & 3c","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","10/1/2017","9/30/2022",1640926,"23-0144",,"Closed","4/24/2023 06:26:00 PM",0,"Original Award",,,,300000007170503,"ad8a5718-fb92-4fe0-a798-52df1098fdc5",,"9/30/2022","10/1/2017","10.500",,,,,"NI18SLBCXXXXG050","Award Created","Legacy Loader","4/24/2023 06:26:00 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Admin Closed","NI18SLBCXXXXG050",,"01-USDANIFA",,,
"23-0176-A0001","John Derek Scasta","Ecosystem Science & Management","Ecosystem Science & Management","Participatory Research to Quantify Prairie Dog Impacts on Livestock Production in Western Rangelands","Colorado State University","National Institute of Food and Agriculture/Department of Agriculture","1/1/2018","5/14/2023",51431,"23-0176",,"Closed","4/24/2023 06:27:48 PM",0,"Original Award",,,,300000007170672,"6abb484b-e73d-4a4f-ab15-1d364f0bbb09",,"5/14/2023","1/1/2018","10.310",,,,,,"Award Created","Legacy Loader","4/24/2023 06:27:48 PM",,"Research",,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",,"01-USDANIFA","On Campus",,"Complete","G-01527-02",,"06-CSU",,,
"23-0205-A0001","Warren K Crawford","UW Extension","UW Extension","Pathways to Higher Education: Engaging Secondary Education Students in the Food, Agricultural, Natural Resources, and Human Sciences","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture","9/1/2018","8/31/2022",126247,"23-0205",,"Closed","4/24/2023 06:29:25 PM",0,"Original Award",,,,300000007170503,"1ec46222-72c3-447c-8b29-cb23fe796922","8/23/2018","8/31/2022","9/1/2018","10.226",,,,,"20183841428611","Award Created","Legacy Loader","4/24/2023 06:29:25 PM",,"Instruction",,"34% MTDC",,"01-USDANIFA","On Campus",,"Admin Closed","2018-38414-28611",,"01-USDANIFA",,,
