"Award #","PI","Project Title","Sponsor","Prime Sponsor","Instrument Type","Award Start Date","Award End Date","Admin Unit","Obligated Amount","Project #","Total Expected Amount","Anticipated Amount","Status","Created Date","Award Type","Increment Amount","PI Unit","Modification Number","Modification Type","Modification Date","Modified By","activity type","Admin Unit Primary Code","Award Amount","Award Id","Award Notice Received","Award Title","budget end date","budget start date","cfda aln number","department","department Primary Code","Direct Costs","epscor idea funding","fain","History Action","History Action By","History Action Date","History Comment","incrementally funded","indirect cost project type","indirect cost rate off","indirect cost rate on","Indirect Costs","nifa capacity grant","Prime Sponsor Org Type","Prime Sponsor Primary Code","project location","proposal type","Resolution","Routing Comment","Routing Date","Routing Status","Sponsor Award Number","Sponsor Org Type","Sponsor Primary Code","sponsor type","Total Cost Share","Total Project Cost"
"24-0482-A0003","Eric P Webster","McIntire-Stennis Capacity","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2024","9/30/2026","Agricultural Experiment Station",56266,"24-0482",255757,NA,"Active","1/16/2025 01:06:19 PM",NA,NA,"Agricultural Experiment Station",0,"Original Award",NA,NA,"Basic Research",300000007170680,NA,"02c0087c-6daf-47d0-a223-d59f1d02716b","12/17/2024",NA,"9/30/2026","10/1/2024","10.202","Agricultural Experiment Station",300000007170680,56266,"No","NI25MSCFRXXXG075","Award Created","Farrell Jean Rapp","1/16/2025 01:06:18 PM",NA,"Yes","Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",0,NA,NA,"01-USDANIFA","On Campus","Non-Competing Continuation",NA,NA,NA,NA,"NI25MSCFRXXXG075",NA,"01-USDANIFA","U.S. Federal Government","255,757.00","511,514.00"
"23-0281-A0001","Barbara Ann Rasco","McIntire-Stennis Capacity (2018-2020)","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2018","9/30/2021","College of Agriculture, Life Sciences & Natural Resources Deans Office",287692,"23-0281",NA,NA,"Closed","4/24/2023 06:34:03 PM",NA,NA,"College of Agriculture, Life Sciences & Natural Resources Deans Office",0,"Original Award",NA,NA,NA,300000006254272,NA,"048de426-8e3d-4357-8e90-88c1d4c4813e","3/1/2019",NA,"9/30/2021","10/1/2018","10.202",NA,NA,NA,NA,"NI19MSCFRXXXG019","Award Created","Legacy Loader","4/24/2023 06:34:03 PM",NA,NA,"Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,"Admin Closed",NA,NA,NA,"NI19MSCFRXXXG019",NA,"01-USDANIFA",NA,NA,NA
"23-0038-A0001","Kelly Keith Crane","FFY17 (2016-21) Smith Lever Main","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2016","9/30/2021","UW Extension",1740400,"23-0038",NA,NA,"Closed","4/24/2023 06:19:57 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,NA,300000007170503,NA,"0b6f0a89-bde7-4233-a028-3164bf5bfb34",NA,NA,"9/30/2021","10/1/2016","10.500",NA,NA,NA,NA,"20174110005100","Award Created","Legacy Loader","4/24/2023 06:19:56 PM",NA,NA,"Research",NA,NA,NA,NA,NA,"01-USDANIFA","On Campus",NA,"Admin Closed",NA,NA,NA,"NI17SLBCXXXXG001",NA,"01-USDANIFA",NA,NA,NA
"24-0225-A0001",NA,"Smith Lever RREA (2018-2020)","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2018","9/30/2020","UW Extension",50794,"24-0225",NA,NA,"Closed","8/18/2023 02:55:43 PM",NA,NA,NA,0,"Original Award",NA,NA,NA,300000007170503,NA,"0ce7b5c8-1d2c-4a82-92c4-a2569e689d62","2/15/2019",NA,"9/30/2020","10/1/2018","10.515",NA,NA,NA,NA,"NI19RREAFXXXG049","Award Created","Legacy Loader","8/18/2023 02:55:43 PM",NA,NA,"Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,"Admin Closed",NA,NA,NA,"NI19RREAFXXXG049",NA,"01-USDANIFA",NA,NA,NA
"23-1120-A0001","Eric P Webster","McIntire-Stennis Capacity FY22","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2021","9/30/2023","Agricultural Experiment Station",244361,"23-1120",NA,NA,"In Closeout","4/24/2023 07:22:39 PM",NA,NA,"Agricultural Experiment Station",0,"Original Award",NA,NA,"Experimental Development",300000007170680,NA,"0d8262db-ed80-4555-81f5-a192dbc72ff2","1/25/2022",NA,"9/30/2023","10/1/2021","10.202",NA,NA,NA,NA,"NI22MSCFRXXXG030","Award Created","Legacy Loader","4/24/2023 07:22:39 PM",NA,NA,"Other Sponsored Activities",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,NA,NA,NA,NA,"NI22MSCFRXXXG030",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-0657-A0001","Eric P Webster","Hatch-Multistate Capacity FY21","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2020","9/30/2022","College of Agriculture, Life Sciences & Natural Resources Deans Office",763482,"23-0657",NA,NA,"Closed","4/24/2023 06:56:28 PM",NA,NA,"Agricultural Experiment Station",0,"Original Award",NA,NA,NA,300000006254272,NA,"0d9491eb-c8c0-4e29-987b-d1e757fbdf9e","11/10/2020",NA,"9/30/2022","10/1/2020","10.203",NA,NA,NA,NA,"NI21HMFPXXXXG049","Award Created","Legacy Loader","4/24/2023 06:56:28 PM",NA,NA,"Other Sponsored Activities",NA,NA,NA,NA,NA,"01-USDANIFA","Off Campus",NA,"Admin Closed",NA,NA,NA,"NI21HMFPXXXXG049",NA,"01-USDANIFA",NA,NA,NA
"23-0135-A0001","Melinda Denise Meuli","FFY18 (2017-2022) EFNEP Main","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"10/1/2017","9/30/2022","UW Extension",275921,"23-0135",NA,NA,"Closed","4/24/2023 06:25:30 PM",NA,NA,"UW Extension",0,"Original Award",NA,NA,NA,300000007170503,NA,"151948ec-89b2-4360-8a79-466369188691",NA,NA,"9/30/2022","10/1/2017","10.500",NA,NA,NA,NA,NA,"Award Created","Legacy Loader","4/24/2023 06:25:29 PM",NA,NA,"Research",NA,"Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,NA,NA,"01-USDANIFA","On Campus",NA,"Admin Closed",NA,NA,NA,"NI18EFNEPXXXG041",NA,"01-USDANIFA",NA,NA,NA
"23-0986-A0001-0","Scott P. Schell","University of Wyoming Extension Implementation Program Team Plan","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2021","8/31/2023","Ecosystem Science & Management",254735,"23-0986",NA,NA,"Active","4/24/2023 07:14:45 PM",NA,NA,"Ecosystem Science & Management",0,"Original Award",NA,NA,"Basic Research",300000007170672,NA,"1927c93e-544d-4683-89c5-4ac4b4662454",NA,NA,"8/31/2023","9/1/2021","10.329",NA,NA,NA,NA,"20217000635482",NA,NA,NA,NA,NA,"Research",NA,NA,NA,NA,NA,"01-USDANIFA","Off Campus",NA,NA,NA,NA,NA,"20217000635482",NA,"01-USDANIFA","U.S. Federal Government",NA,NA
"23-0986-A0001-1","Scott P. Schell","University of Wyoming Extension Implementation Program Team Plan","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2021","8/31/2024","Ecosystem Science & Management",362104,"23-0986",362104,NA,"Active","9/27/2023 02:12:51 PM",NA,NA,"Ecosystem Science & Management",1,"New Funding Increment","9/27/2023","Kristi Stockdale","Basic Research",300000007170672,NA,"1927c93e-544d-4683-89c5-4ac4b4662454",NA,NA,"8/31/2024","9/1/2021","10.329","Ecosystem Science & Management",300000007170672,362104,NA,"20217000635482",NA,NA,NA,NA,"Yes","Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,0,NA,NA,"01-USDANIFA","[Off Campus]","New",NA,NA,NA,NA,"20217000635482",NA,"01-USDANIFA","U.S. Federal Government",NA,"362,104.00"
"23-0986-A0001-2","Scott P. Schell","University of Wyoming Extension Implementation Program Team Plan","National Institute of Food and Agriculture/Department of Agriculture","National Institute of Food and Agriculture/Department of Agriculture",NA,"9/1/2021","8/31/2024","Ecosystem Science & Management",362104,"23-0986",362104,NA,"Active","9/29/2023 07:12:01 AM",NA,NA,"Ecosystem Science & Management",2,"Terms & Conditions Change","9/29/2023","Kristi Stockdale","Basic Research",300000007170672,NA,"1927c93e-544d-4683-89c5-4ac4b4662454",NA,NA,"8/31/2024","9/1/2021","10.329","Ecosystem Science & Management",300000007170672,362104,NA,"20217000635482",NA,NA,NA,NA,"Yes","Research","Reduced F&A by Sponsor: Specify the rate % and base (MTDC, TDC, Other)",NA,0,NA,NA,"01-USDANIFA","[Off Campus]","New",NA,NA,NA,NA,"20217000635482",NA,"01-USDANIFA","U.S. Federal Government",NA,"362,104.00"
