Award #,PI,Project Title,Sponsor,Prime Sponsor,Instrument Type,Award Start Date,Award End Date,Admin Unit,Obligated Amount,Project #,Total Expected Amount,Anticipated Amount,Status,Created Date,Award Type,Increment Amount,PI Unit,Modification Number,Modification Type,Modification Date,Modified By,activity type,Admin Unit Primary Code,Award Amount,Award Id,Award Title,college,Direct Costs,expected direct,expected indirect,full proposal title,History Action,History Action By,History Action Date,History Comment,Prime Sponsor Org Type,Prime Sponsor Primary Code,proposal type,proposal type if other,Routing Comment,Routing Date,Routing Status,Sponsor Org Type,sponsor type,sponsor type if other,Total Project Cost
23-0655-A0001,Mark D. Andersen,Exchange of Information Between the Natural Heritage Programs - WY Database Exports,Forest Service/Department of Agriculture,Forest Service/Department of Agriculture,,7/23/2020,5/31/2025,Wyo Natural Diversity Database,10000,23-0655,,,Active,4/24/2023 18:56,,,Wyo Natural Diversity Database,0,Original Award,,,,3.00E+14,,0005683a-8fb0-4f26-88e4-d8dce4d324eb,,,,,,Exchange of Information Between the Natural Heritage Programs - WY Database Exports,Award Created,Legacy Loader,4/24/2023 18:56,,,01-FSUSDA,,,,,,,U.S. Federal Government,,
23-0655-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 18:56,Status set by bulk loader,,,,,,,,,,,
24-0533-A0001-0,Jonathan W. Naughton,NASA Langley OFI Support,Analytical Mechanics Associates,National Aeronautics and Space Administration,,6/1/2023,5/31/2031,Mechanical Engineering,0,24-0533,0,,Active,3/14/2024 8:40,,,Mechanical Engineering,0,Original Award,,,Applied Research,3.00E+14,,0012c602-65c2-454f-9e58-00b172714dd7,,Engineering & Physical Sciences,0,0,0,NASA Langley Oil Film Interferometry Test Support,,,,,,01-NASA,New,,,,,Industry,Industry,,0
24-0533-A0001-1,Jonathan W. Naughton,NASA Langley OFI Support,Analytical Mechanics Associates,National Aeronautics and Space Administration,,6/1/2023,5/31/2031,Mechanical Engineering,0.01,24-0533,0.01,,Active,4/17/2024 13:15,,,Mechanical Engineering,1,Administrative Change,4/17/2024,Kristi Hargis Stockdale,Applied Research,3.00E+14,,0012c602-65c2-454f-9e58-00b172714dd7,,Engineering & Physical Sciences,0.01,0.01,0,NASA Langley Oil Film Interferometry Test Support,Award Created,Kristi Hargis Stockdale,3/14/2024 8:40,,,01-NASA,New,,,,,Industry,Industry,,0
24-0533-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Routed for Review,Kristi Hargis Stockdale,3/25/2024 12:41,,,,,,,,,,,,
24-0533-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to In Review & Negotiation,Kristi Hargis Stockdale,3/25/2024 12:41,,,,,,,,,,,,
24-0533-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: In Review & Negotiation to Active,Kristi Hargis Stockdale,3/25/2024 12:41,Master Agreement.  ,,,,,,,,,,,
24-0533-A0001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Award modified. Reason: Administrative Change,Kristi Hargis Stockdale,4/17/2024 13:16,Updated the dollar amount to 0.01 per request from Michelle Lorenz so that it integrates to WyoCloud.,,,,,,,,,,,
23-1222-A0001,Greg Lynn Kerr,Office of Water Programs 2022-2024,Wyoming Water Development Commission,Wyoming Water Development Commission,,7/1/2022,6/30/2024,VP for Research & Economic Development Office,175000,23-1222,,,In Closeout,4/24/2023 19:28,,,VP for Research & Economic Development Office,0,Original Award,,,Other Sponsored Activity,3.00E+14,,00398cf3-469b-4114-8d84-ab05ae619ef1,,,,,,Office of Water Programs 2022-2024,Award Created,Legacy Loader,4/24/2023 19:28,,,02-WWDC,,,,,,,Wyoming State Governmental Entities,,
23-1222-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:28,Status set by bulk loader,,,,,,,,,,,
23-1222-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce William Howard,9/16/2024 14:03,Award end-date has passed.,,,,,,,,,,,
23-1183-A0001,Michael S. Brotherton,The Launch Pad Astronomy Workshop for Writers 2022,"Science Fiction and Fantasy Writers of America, Inc.","Science Fiction and Fantasy Writers of America, Inc.",,3/1/2022,12/31/2022,Physics & Astronomy,4655,23-1183,,,In Closeout,4/24/2023 19:26,,,Physics & Astronomy,0,Original Award,,,Other Sponsored Activity,3.00E+14,,0073bd18-b69f-4ad8-8cec-dc1b2f8a1d3f,,,,,,The Launch Pad Astronomy Workshop for Writers 2022,Award Created,Legacy Loader,4/24/2023 19:26,,,07-SFWA,,,,,,,Non-Profit Organizations,,
23-1183-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:26,Status set by bulk loader,,,,,,,,,,,
23-1183-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce Howard,7/6/2023 16:11,Award End date has passed.,,,,,,,,,,,
23-1157-A0001,Nevin Thomas Aiken,Developing More Impactful Experiential Learning: Best Practices for Faculty-Led Study Abroad Programs One-Day Workshop,"The World Learning, Inc.",Bureau of Education and Cultural Affairs/Department of State,,1/15/2022,11/30/2022,Politics Public Affairs & International Studies,16965.18,23-1157,,,In Closeout,4/24/2023 19:24,,,Politics Public Affairs & International Studies,0,Original Award,,,,3.00E+14,,0085e767-c5bc-40c9-aed9-19711289fe00,,,,,,Developing More Impactful Experiential Learning: Best Practices for Faculty-Led Study Abroad Programs One-Day Workshop,Award Created,Legacy Loader,4/24/2023 19:24,,,01-BECAUS,,,,,,,Non-Profit Organizations,,
23-1157-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Set Up In Progress to Active,Legacy Loader,4/24/2023 19:24,Status set by bulk loader,,,,,,,,,,,
23-1157-A0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status was changed from: Active to In Closeout,Bryce Howard,7/6/2023 16:36,Award End date has passed.,,,,,,,,,,,
