Award #,Project Title,Obligated Amount,Total Expected Amount,Direct Costs,expected direct,expected indirect,Indirect Costs,Total Project Cost
23-0655-A0001,Exchange of Information Between the Natural Heritage Programs - WY Database Exports,10000,,,,,,
24-0533-A0001-0,NASA Langley OFI Support,0,0,0,0,0,0,0
24-0533-A0001-1,NASA Langley OFI Support,0.01,0.01,0.01,0.01,0,0,0
23-1222-A0001,Office of Water Programs 2022-2024,175000,,,,,,
23-1183-A0001,The Launch Pad Astronomy Workshop for Writers 2022,4655,,,,,,
23-1157-A0001,Developing More Impactful Experiential Learning: Best Practices for Faculty-Led Study Abroad Programs One-Day Workshop,16965.18,,,,,,
23-0450-A0001,Collaborative Research: Internal and external drivers of orogenic episodicity in the Ecuadorian Andes,236676,,,,,,
24-0795-A0001,Cardiac myocyte deletion of hypoxia-inducible factor - 1α exacerbates RV dysfunction in aging mice,1000,1000,1000,1000,0,0,1000
24-0325-A0001,Adaptive Management Modeling of Invasive Annual Grasses in the Northern Great Plains,128948.68,128948.68,109743.56,109743.56,19205.12,19205.12,128948.68
23-0572-A0001,Eastern Wyoming Fruit Demonstration and Research Orchard,16413.66,,,,,,
24-0312-A0001,"CARES ACT-Student Refund Expenses, Education-Related",8453728.65,,,,,,
23-1217-A0001,Developing 2022 Prevailing Wage Estimates for Wyoming Department of Workforce Services 2,50560,,,,,,
25-0426-A0001,WCCC WIP VR program - 4 tasks,85187,85187,70989.17,70989.17,14197.83,14197.83,85187
24-0149-A0001,Wyoming T2 2023,218750,218750,182292,182292,36458,36458,250000
23-0751-A0001,Imagining Wyoming's Future: A Youth Vision for 2030,2000,,,,,,
24-0142-A0006-0,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,676080,676080,676080,676080,0,0,676080
24-0142-A0006-1,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,676080,676080,676080,676080,0,0,676080
24-0142-A0006-2,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,790080,790080,771080,771080,19000,19000,790080
23-0487-A0001,Bayesian Learning Consortium,250000,,,,,,
23-1163-A0001,Federal Work Study Program 2022-2023,502688,,,,,,
23-1181-A0001,Investigating species relationships and evolutionary patterns of defense strategies in Tricalysia (Rubiaceae),1500,,,,,,
24-0265-A0001,Technology in Music Education and Music Technology Mentor Program,196000,,,,,,
23-1858-A0001,Does the Petal Fall Far From the Rose,10000,10000,10000,10000,0,0,10000
24-1010-A0001,Early Childhood Vision Screening,8000,8000,6667,6667,1333,1333,8000
23-0861-A0004,New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP),65000,65000,48507.46,48507.46,16492.54,16492.54,65000
23-1016-A0001-0,Evaluation of Alabama BPP COSMOSS Program,200000,,,,,,
23-1016-A0001-1,Evaluation of Alabama BPP COSMOSS Program,400000,400000,298507.46,298507.46,101492.54,101492.54,400000
23-1016-A0001-2,Evaluation of Alabama BPP COSMOSS Program,400000,400000,298507.46,298507.46,101492.54,101492.54,400000
24-0482-A0003,McIntire-Stennis Capacity,56266,255757,56266,255757,0,0,511514
23-0840-A0001-0,Rocky Mountain CESU (RMCESU) WY Evaluating the benefit of multiple migratory tactics in the world's longest migrating mule deer herd,93000,,,,,,
23-0840-A0001-1,Rocky Mountain CESU (RMCESU) WY Evaluating the benefit of multiple migratory tactics in the world's longest migrating mule deer herd,143000,,121702,,,21298,
23-0840-A0001-2,Rocky Mountain CESU (RMCESU) WY Evaluating the benefit of multiple migratory tactics in the world's longest migrating mule deer herd,143000,,121702,,,21298,
23-1146-A0001,WMI Film Series: My Wild Lands,10000,,,,,,
23-0270-A0001-0,Collaborative Research: Mechanisms of tree population collapses in eastern North America: Disentangling causes of abrupt ecological change during the Holocene,209923,,,,,,
23-0270-A0001-1,Collaborative Research: Mechanisms of tree population collapses in eastern North America: Disentangling causes of abrupt ecological change during the Holocene,209923,209923,154589,154589,55334,55334,209923
23-0270-A0001-2,Collaborative Research: Mechanisms of tree population collapses in eastern North America: Disentangling causes of abrupt ecological change during the Holocene,209923,209923,154589,154589,55334,55334,209923
23-0417-A0001-0,"Clovis Subsistence and Social Organization at the La Prele Mammoth Site (48CO1401), Converse County, Wyoming",225814,,,,,,
23-0417-A0001-1,"Clovis Subsistence and Social Organization at the La Prele Mammoth Site (48CO1401), Converse County, Wyoming",225814,225814,163104,163104,62710,62710,225814
23-0417-A0001-2,"Clovis Subsistence and Social Organization at the La Prele Mammoth Site (48CO1401), Converse County, Wyoming",225814,225814,163104,163104,62710,62710,225814
23-0066-A0002,Plant Species Verification and Checklists for Northern Great Plains Parks,129493.23,129493.23,110207,110207,19286.23,19286.23,129493
23-1437-A0001,Collaborative Research: Ranges: Building Capacity to Extend Mammal Specimens from Western North America,7413,,,,,,
23-0516-A0001-0,Collaborative Research: Further Investigations from the Seeded and Natural Orographic Wintertime clouds: the Idaho Experiment (SNOWIE),525740,,,,,,
23-0516-A0001-1,Collaborative Research: Further Investigations from the Seeded and Natural Orographic Wintertime clouds: the Idaho Experiment (SNOWIE),525740,,382476,,,143264,525740
23-0516-A0001-2,Collaborative Research: Further Investigations from the Seeded and Natural Orographic Wintertime clouds: the Idaho Experiment (SNOWIE),525740,,382476,,,143264,525740
24-0758-A0001,Parasites and Bumble Bee Conservation in Northwestern Wyoming,4773,4773,4773,4773,0,0,4773
23-1490-A0001,Absaroka Fence Initiative: Fence Inventory and Associated Analysis - Year 2,20000,,,,,,
23-0498-A0001,Riding for Focus in PE on Life Skills Development-Participation in Extracurricular Cycling Opps in Middle School Students" and "Acute Effects of High-Intensity Interval Training via Cycling on Executive Functioning in Middle School Students with ADHDâ€�,131308,,,,,,
24-0096-A0002-0,Project Global Officer (Project GO),466781.21,466781.21,406215.02,406215.02,60566.18,60566.18,466781.21
24-0096-A0002-1,Project Global Officer (Project GO),491246.93,491246.93,424473.02,424473.02,66773.9,66773.9,491246.93
23-0999-A0001,Assessing the Economic Impact of Constructing the Windstar and Stegall Electric Power Lines in Wyoming,22636,,,,,,
23-1453-A0001,Does the petal fall far from the rose?,5000,,,,,,
24-0861-A0002-0,2024 CAPS Infrastructure ,20233,80933,18210,18210,2023,2023,80933
24-0861-A0002-1,2024 CAPS Infrastructure ,20233,80933,18210,18210,2023,2023,80933
24-0861-A0002-2,2024 CAPS Infrastructure ,80933,80933,73575,73575,7358,7358,80933
23-0818-A0001-0,"Shear-zone control on Platinum Group Element (PGE) enrichment in the Medicine Bow Mountains, Wyoming: Mineralization, alteration, and implications for ore formation",16834,,,,,,
23-0818-A0001-1,"Shear-zone control on Platinum Group Element (PGE) enrichment in the Medicine Bow Mountains, Wyoming: Mineralization, alteration, and implications for ore formation",14200.45,16834,12034.28,,,2166.17,
23-0042-A0001,Collaborative Research: SNOWIE: Seeded and Natural Orographic Wintertime Clouds:  The Idaho Experiment,796887.34,,,,,,
23-0380-A0001-0,WYCS Micro-credentials for Wyoming PK-12 Teachers,396000,,,,,,
23-0380-A0001-1,WYCS Micro-credentials for Wyoming PK-12 Teachers,396000,,375556,,,20444,
23-0380-A0001-2,WYCS Micro-credentials for Wyoming PK-12 Teachers,396000,,375556,,,20444,
