Project Title,Proposal #,Total Sponsor Costs,Total Direct Costs,Total Indirect Costs,Total Project Cost
The Airborne Interferometric and Polarimetric Synthetic Aperture Radar Permafrost Dynamics Observatory,23-0083-P0001,,,,
Rx for Change: Tobacco Cessation Training in U.S. Schools of Pharmacy,24-0940-P0001,72711,67325,5386,72711
REU Site: A Community College Based REU Site for the Wyoming Region,24-0178-P0001,424977,390553,34423,424977
CPS: Medium: Collaborative Research: Collective Intelligence for Proactive Autonomous Driving (CI-PAD),23-0348-P0001,,,,
Mapping Bobcat Habitat across the State of Wyoming,23-0601-P0001,,,,
Wyoming IDeA Networks for Biomedical Research Excellence,23-1526-P0002,268795,200000,68795,268795
Genetics of Cutthroat Trout in the Lamar River Watershed,23-0859-P0001,,,,
DARPA YFA,24-0798-P0001, $995825.36 ,787985.3, $207840.06 , $995825.36 
Mock Jurors Attitudes Towards Child Chronological Age and History of Grooming Prior to Child Sexual Abuse,25-0420-P0001,2000,2000,0,2000
University of Wyoming Extension Smith-Lever Special Needs FY23,23-1399-P0001,,,,
Phlox pungens (Prickly phlox) Taxonomy and Status,24-0726-P0001,48469.84,41250.84,7224.84,48469.84
BDA/POD - Aquatic Habitat Management & Restoration,24-0112-P0001,61164.63,52055,9109.63,84001.63
"Pathological Personality: Fixed, Maladaptive Traits or Modifiable Treatment Targets?",23-1013-P0001,,,,
A Human-Centric Shared Autonomy System for Teleoperated Robotic Manipulation in Space Exploration,25-0471-P0001,,,,
Secondary Foundational and Disciplinary Progress Monitoring and Scaling,25-0307-P0001,,,,
EPICC Healthy Living Evaluation,23-1052-P0001,,,,
Integration of Produced Water Thermal Desalination and Steam Methane Reforming for Efficient Hydrogen Production,24-0554-P0001,3300000,2750000,550000,6600000
Spillover of SARS-CoV-2 into wildlife from wastewater,23-1614-P0001,1362664,1238786,123878,1362664
Screening Varieties of Three Protein-Rich Pulse Crop Species for Reduced Water Use in Northern Wyoming,23-1829-P0001,79584,79584,0,99480
Rocky Mountain CESU (RMCESU) WY Evaluating the benefit of multiple migratory tactics in the world's longest migrating mule deer herd,23-0840-P0002,50000,42553.19,7446.81,50000
Capture of Expiratory Aerosols and Droplets on Water-Soluble Fibers for Point-of-Care Diagnostics of Viral Respiratory Infections,23-1810-P0001,370374,275000,95374,370374
Wyoming SBDC Network Procurement Technical Assistance Center 2021-22,23-0954-P0001,,,,
Access to Capital Markets and Education Outcomes:  An Analysis of Moody’s 2010 Rating Recalibration on Public Education Bond Financing and Subsequent Educational Achievements,24-0026-P0001,316573,219082,97491,316573
Validation of Point-of-Care Molecular Testing for the Detection of Emerging Pathogens in North American Amphibians and the Global Wildlife Trade,25-0353-P0001,160316.05,148440.79,11875.26,160316.05
Simulated Mechanical Apparatus for Recoil Testing,24-0117-P0001,300000,217664,82336,300000
Primary Care Training and Enhancement-Residency Training in Street Medicine,25-0489-P0001,,,,
Wyoming Water Research Program 2021-2025,23-0736-P0001,,,,
"CORE-CM Phase II, Region IV: Developing a Nexus of Carbon Ore, Rare Earth Element & Critical Minerals Technologies & Community Engagement",24-1035-P0001,7500000,8617187,1559297,10176484
QLCI: NSF Quantum Leap Challenge Institute for Integrated Neuromorphic and Quantum Computing,25-0519-P0001,,,,
"Evaluating the Influence of Wind Energy on the Movement, Distribution, and Habitat Quality of Pronghorn",23-0169-P0001,,,,
"The Absaroka Fence Initiative, Fencing Project",23-1179-P0001,,,,
Engineering Fellows Postdoctoral Fellowship Program,23-1075-P0001,,,,
Effects of reverse remodeling on pulmonary right heart failure,24-0292-P0001,,,,
Master Research Collaboration Agreement | Teton Raptor Center,24-1093-P0002,0,0,0,47127
Managing Sage-Grouse and Wind Energy in Wyoming,24-0015-P0001,1361383,1216830,144553,1361383
Manufacturing-Works (The Wyoming Manufacturing Extension Partnership) at the University of Wyoming (2022-2027),23-1147-P0001,,,,
Mapping and characterizing bighorn sheep seasonal ranges and migration routes across Wyoming,23-1702-P0001,85000,85000,0,85000
The School (Resource Officer)-to-Prison Pipeline? The Influence of Youth Race and Maturation Bias on School Resource Officer Decision Making,24-0181-P0001,2000,2000,0,
Evaluation of Papa Criolla Potato in Rotation with Pea in Wyoming,23-0774-P0001,,,,
Wyoming IDeA Networks for Biomedical Research Excellence Phase 4 (Year 3),23-1172-P0001,,,,
OpenGrocery: An Open Source Infrastructure for Grocery Recognition,24-1062-P0001,174720,128284,46435,174720
Upward Bound Math/Science PY 2018,23-0212-P0001,,,,
Grape Growing Guide for Beginning and Existing Producers in Wyoming,23-0254-P0001,,,,
Enhancing Dementia-Capable Wyoming Through Community Partnerships,23-0230-P0001,,,,
Sublette County Conservation District_ Water Quality,24-0782-P0001,5400,4500,900,5400
Cost Benefit Analysis of Wyoming Court Supervised Treatment Courts,23-0527-P0001,,,,
Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits,23-0618-P0002,1744684,1302003,442681,1744684
Missing and Murdered Indigenous Persons Ongoing Data Support,23-0827-P0001,,,,
Acquisition Of A Versatile Lighting System For Plant For Plant Growth And Fast Phenotyping In Modern Controlled Environment Agricultural Setting,24-0017-P0001,,,,
Mechanisms of preimplantation developmental programming by choline,23-1711-P0001,69815.77,48871.09,20944.65,
Adapt existing Racial and Intersectional Microaggressions (RIMA) questionnaire for surveying employees of Georgia Tech Research Institute,23-1184-P0001,,,,
Methane Emissions Research Collaborative ,25-0059-P0001,200000,145806,54194,200000
ICP Web Viewer and Database Maintenance,23-0555-P0001,,,,
Rapid Safety Assessment Tool for Non-Conventional Roadway Design and Emerging Technologies: Innovative Artificial Intelligence Application,23-0820-P0001,,,,
Red Grade Trail Work - Sheridan Community Land Trust,23-0545-P0001,,,,
"FY22 5311 WYDOT/FTA Funding for Operating, Maintenance, and Administrative Costs",23-0958-P0001,,,,
"Rocky Mountain Mathematics Consortium Summer School on Free Probability, Random Matrices, and Applications",24-0233-P0001,,,,
Ontogeny of migration in mule deer and consequences for habitat occupancy,23-0322-P0001,,,,
Eastern Wyoming Hydrogen Fueling Corridor,25-0042-P0001,3000000,2400000,600000,18000000
Portable Assistance Program Funding Opportunity Number OSBDC-2020-03 Multi-Year (3) project Option Year 1- On Campus,23-1190-P0002,100000,83333,16667,100000
Expanded Food and Nutrition Education 2025,25-0061-P0001,278891,278891,0,278891
"MRI: Track 3 Acquisition of a Helium Recovery, Purification, and Reliquefying System",24-0538-P0001,713735,677163,36572,713735
Inferring CWD status - WGBGLC 2023,23-1896-P0001,6500,6500,0,6500
IMAGINE Monitoring Network Support,24-1047-P0001,175000,159090,15910,175000
Installing PM2.5 sensors to provide real-time indicative air quality data for the Greater Yellowstone Ecosystem within the Purple Air citizen science network,24-0262-P0001,,,,
Evaluating the role of spring-fed streams to Yellowstone cutthroat trout,23-1168-P0001,,,,
News Media Survey,24-1019-P0001,16786,15260,1525.98,16786
Clean Energy and Emissions Technologies (RFA-007): Enhancement in Spontaneous Electrokinetic Energy Generation through Hydrophobic Patterning of the Evaporation Surface,24-0697-P0001,99974,72537,27437,99974
