Proposal #,Total Sponsor Costs,Total Direct Costs,Total Indirect Costs,Total Project Cost
23-0083-P0001,,,,
23-0083-P0001,,,,
25-0531-P0001,316250,275000,100125,375125
25-0531-P0001,,,,
25-0531-P0001,,,,
25-0531-P0001,,,,
25-0531-P0001,,,,
23-0348-P0001,,,,
23-0348-P0001,,,,
23-0601-P0001,,,,
23-0601-P0001,,,,
23-1526-P0002,268795,200000,68795,268795
23-1526-P0002,,,,
23-1526-P0002,,,,
23-1526-P0002,,,,
23-1526-P0002,,,,
23-1526-P0002,,,,
23-1526-P0002,,,,
23-1526-P0002,,,,
23-0859-P0001,,,,
23-0859-P0001,,,,
24-0798-P0001, $995825.36 ,787985.3, $207840.06 , $995825.36 
24-0798-P0001,,,,
24-0798-P0001,,,,
24-0798-P0001,,,,
24-0798-P0001,,,,
24-0798-P0001,,,,
24-0798-P0001,,,,
23-1399-P0001,,,,
23-1399-P0001,,,,
25-0420-P0001,2000,2000,0,2000
25-0420-P0001,,,,
25-0420-P0001,,,,
25-0420-P0001,,,,
25-0420-P0001,,,,
25-0420-P0001,,,,
25-0420-P0001,,,,
25-0420-P0001,,,,
25-0420-P0001,,,,
25-0420-P0001,,,,
25-0420-P0001,,,,
25-0420-P0001,,,,
25-0420-P0001,,,,
25-0420-P0001,,,,
25-0420-P0001,,,,
23-1013-P0001,,,,
23-1013-P0001,,,,
24-0112-P0001,61164.63,52055,9109.63,84001.63
24-0112-P0001,,,,
24-0112-P0001,,,,
24-0112-P0001,,,,
24-0112-P0001,,,,
24-0112-P0001,,,,
24-0112-P0001,,,,
24-0112-P0001,,,,
24-0112-P0001,,,,
25-0471-P0001,124976,101127,23849,124938
25-0471-P0001,,,,
25-0471-P0001,,,,
25-0471-P0001,,,,
25-0471-P0001,,,,
25-0471-P0001,,,,
25-0471-P0001,,,,
25-0307-P0001,,,,
23-1052-P0001,,,,
23-1052-P0001,,,,
25-0307-P0001,,,,
25-0307-P0001,,,,
25-0307-P0001,,,,
25-0307-P0001,,,,
24-0554-P0001,3300000,2750000,550000,6600000
24-0554-P0001,,,,
24-0554-P0001,,,,
24-0554-P0001,,,,
24-0554-P0001,,,,
24-0554-P0001,,,,
24-0554-P0001,,,,
24-0554-P0001,,,,
23-1829-P0001,79584,79584,0,99480
23-1829-P0001,,,,
23-1829-P0001,,,,
23-1829-P0001,,,,
23-1829-P0001,,,,
23-1829-P0001,,,,
24-0940-P0001,72711,67325,5386,72711
24-0940-P0001,,,,
24-0940-P0001,,,,
24-0940-P0001,,,,
24-0940-P0001,,,,
24-0940-P0001,,,,
24-0940-P0001,,,,
24-0940-P0001,,,,
24-0940-P0001,,,,
24-0940-P0001,,,,
24-0940-P0001,,,,
24-0940-P0001,,,,
24-0940-P0001,,,,
24-0940-P0001,,,,
24-0940-P0001,,,,
24-0940-P0001,,,,
24-0940-P0001,,,,
23-1614-P0001,1362664,1238786,123878,1362664
23-1614-P0001,,,,
23-1614-P0001,,,,
23-1614-P0001,,,,
23-1614-P0001,,,,
24-0726-P0001,48469.84,41250.84,7224.84,48469.84
24-0726-P0001,,,,
24-0726-P0001,,,,
24-0726-P0001,,,,
24-0726-P0001,,,,
24-0726-P0001,,,,
24-0726-P0001,,,,
24-0726-P0001,,,,
24-0726-P0001,,,,
24-0726-P0001,,,,
24-0726-P0001,,,,
24-0726-P0001,,,,
24-0726-P0001,,,,
24-0178-P0001,424977,390553,34423,424977
24-0178-P0001,,,,
24-0178-P0001,,,,
24-0178-P0001,,,,
24-0178-P0001,,,,
