"Year","Month","PI Unit","Number of Proposal Submitted","Number of Proposal Funded"
"2023","April","Academic Technology Services",1,1
"2023","April","Accounting & Finance",1,1
"2023","April","Agricultural Experiment Station",8,8
"2023","April","Agriculture & Applied Economics",14,14
"2023","April","American Heritage Center",5,5
"2023","April","Animal Science",9,9
"2023","April","Anthropology",14,14
"2023","April","Atmospheric Science",17,17
"2023","April","Biodiversity Institute",1,1
"2023","April","Botany",17,17
"2023","April","COB Centers for Excellence",7,7
"2023","April","Chemical & Biomedical Engineering",3,3
"2023","April","Chemistry",17,17
"2023","April","Civil & Architectural Engineering & Construction Management",39,39
"2023","April","College of Agriculture, Life Sciences & Natural Resources Deans Office",7,7
"2023","April","College of Education Deans Office",7,7
"2023","April","College of Law Deans Office",3,3
"2023","April","Communication Disorders",4,4
"2023","April","Counseling Leadership Advocacy & Design",1,1
"2023","April","Culture Gender & Social Justice",4,4
"2023","April","Dean of Students Office",1,1
"2023","April","EPSCoR/IDEA Office",1,1
"2023","April","Economics",7,7
"2023","April","Ecosystem Science & Management",59,59
"2023","April","Educational Health Center of Wyoming",9,9
"2023","April","Electrical Engineering & Computer Science",17,17
"2023","April","Energy & Petroleum Engineering",17,17
"2023","April","Engineering & Physical Sciences Deans Office",7,7
"2023","April","English",1,1
"2023","April","Enhanced Oil Recovery Institute",2,2
"2023","April","Family & Consumer Sciences",7,7
"2023","April","Family Medicine Residency Programs Cheyenne",1,1
"2023","April","Geology & Geophysics",21,21
"2023","April","Haub School of Environment & Natural Resources",111,111
"2023","April","IMPACT 307",3,3
"2023","April","Kinesiology & Health",8,8
"2023","April","Libraries Education & Research Services",1,1
"2023","April","Life Science Program",3,3
"2023","April","Management & Marketing",1,1
"2023","April","Manufacturing Works",5,5
"2023","April","Mathematics & Statistics",7,7
"2023","April","Mechanical Engineering",20,20
"2023","April","Modern & Classical Languages",2,2
"2023","April","Molecular Biology",11,11
"2023","April","Music",5,5
"2023","April","Office of Sponsored Programs",1,1
"2023","April","Philosophy & Religious Studies",2,2
"2023","April","Physics & Astronomy",18,18
"2023","April","Plant Sciences",49,49
"2023","April","Politics Public Affairs & International Studies",4,4
"2023","April","Provosts Office",1,1
"2023","April","Psychology",14,14
"2023","April","R&E Center Laramie",1,1
"2023","April","R&E Center Powell",26,26
"2023","April","R&E Center SAREC",1,1
"2023","April","R&E Center Sheridan",18,18
"2023","April","Scholarships & Financial Aid",12,12
"2023","April","School of Energy Resources Directors Office",8,8
"2023","April","School of Graduate Education Deans/VPs Office",1,1
"2023","April","School of Nursing",2,2
"2023","April","School of Pharmacy",8,8
"2023","April","School of Teacher Education",5,5
"2023","April","Science & Math Teaching Center",1,1
"2023","April","Science Institute",2,2
"2023","April","Small Business Development Center",10,10
"2023","April","Social Work",1,1
"2023","April","Student Educational Opportunity",6,6
"2023","April","Theatre & Dance",2,2
"2023","April","Transdisciplinary Graduate Programs",1,1
"2023","April","Transportation Services",13,13
"2023","April","UW Extension",41,41
"2023","April","University Art Museum",2,2
"2023","April","University Police",4,4
"2023","April","VP for Administration Office",1,1
"2023","April","VP for Research & Economic Development Office",14,14
"2023","April","VP of Global Engagement",5,5
"2023","April","Veterinary Science",18,18
"2023","April","Visual Arts",1,1
"2023","April","WWAMI Medical Education Program",3,3
"2023","April","Wyo Natural Diversity Database",48,48
"2023","April","Wyoming Coop Unit",87,87
"2023","April","Wyoming Geographic Information Science Center",23,23
"2023","April","Wyoming Institute for Disabilities WIND",27,27
"2023","April","Wyoming Public Media",15,15
"2023","April","Wyoming State Veterinary Laboratory",3,3
"2023","April","Wyoming Survey & Analysis Center",63,63
"2023","April","Zoology & Physiology",53,53
"2023","April",NA,4,3
"2023","August","Agriculture & Applied Economics",3,3
"2023","August","Animal Science",2,0
"2023","August","Anthropology",1,0
"2023","August","Atmospheric Science",7,3
"2023","August","Botany",3,3
"2023","August","Center of Innovation for Flow through Porous Media",1,1
"2023","August","Chemistry",3,3
"2023","August","Civil & Architectural Engineering & Construction Management",7,5
"2023","August","Economics",2,2
"2023","August","Ecosystem Science & Management",4,3
"2023","August","Electrical Engineering & Computer Science",3,0
"2023","August","Energy & Petroleum Engineering",1,1
"2023","August","Engineering & Physical Sciences Deans Office",1,1
"2023","August","Geology & Geophysics",6,4
"2023","August","Haub School of Environment & Natural Resources",8,8
"2023","August","Kinesiology & Health",6,4
"2023","August","Mathematics & Statistics",1,0
"2023","August","Mechanical Engineering",1,1
"2023","August","Music",1,1
"2023","August","Physics & Astronomy",1,1
"2023","August","Plant Sciences",8,8
"2023","August","Politics Public Affairs & International Studies",1,1
"2023","August","Psychology",1,0
"2023","August","R&E Center Powell",1,1
"2023","August","R&E Center Sheridan",3,3
"2023","August","School of Computing",2,2
"2023","August","School of Energy Resources Directors Office",2,2
"2023","August","School of Nursing",1,0
"2023","August","School of Pharmacy",1,0
"2023","August","School of Teacher Education",1,0
"2023","August","Science Institute",1,0
"2023","August","Student Educational Opportunity",1,0
"2023","August","UW Extension",1,1
"2023","August","University Art Museum",1,1
"2023","August","Veterinary Science",1,1
"2023","August","Wyo Natural Diversity Database",8,7
"2023","August","Wyoming Coop Unit",4,4
"2023","August","Wyoming Geographic Information Science Center",1,0
"2023","August","Wyoming Institute for Disabilities WIND",1,1
"2023","August","Wyoming Public Media",1,1
"2023","August","Wyoming Survey & Analysis Center",3,3
"2023","August","Zoology & Physiology",4,3
"2023","August",NA,69,65
"2023","December","Agriculture & Applied Economics",1,0
"2023","December","Albany Community Health Clinic",1,0
"2023","December","Animal Science",1,0
"2023","December","Applications & Customer Relations",1,0
"2023","December","Atmospheric Science",2,0
"2023","December","Chemistry",3,0
"2023","December","Civil & Architectural Engineering & Construction Management",1,1
"2023","December","Economics",1,1
"2023","December","Ecosystem Science & Management",2,2
"2023","December","Educational Health Center of Wyoming",1,0
"2023","December","Electrical Engineering & Computer Science",2,0
"2023","December","Energy & Petroleum Engineering",1,0
"2023","December","English",1,0
"2023","December","Family Medicine Residency Programs Cheyenne",1,0
"2023","December","Geology & Geophysics",1,0
"2023","December","Haub School of Environment & Natural Resources",2,2
"2023","December","Honors College",1,0
"2023","December","Kinesiology & Health",4,2
"2023","December","Mathematics & Statistics",1,0
"2023","December","Mechanical Engineering",1,0
"2023","December","Physics & Astronomy",1,0
"2023","December","Plant Sciences",3,3
"2023","December","Psychology",1,1
"2023","December","Research & Economic Development Division",2,0
"2023","December","School of Energy Resources Directors Office",4,2
"2023","December","School of Pharmacy",1,0
"2023","December","UW Extension",1,1
