"Project Title","Proposal #","PI Unit","College (Subdivision)","PI","Proposal Created Date","Submission Date","Funded Date","Proposal_status","Year","Month","Status","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","Obligated Amount in Award Data","Total Expected Amount in Award Data","Direct Costs in Award Data","expected direct in Award Data","expected indirect in Award Data","Indirect Costs in Award Data","Total Project Cost in Award Data"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","412035","374577.27","37457.73","412035","412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","412035","374577.27","37457.73","412035","394414",NA,NA,NA,NA,NA,NA
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","412035","374577.27","37457.73","412035","412035","412035",374577,"374577","37458",37458,"412035"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","412035","374577.27","37457.73","412035","91192","91192",82902,"82902","8290",8290,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-08,"10/22/2024 9:16","10/25/2024 14:47","Funded","2024","October","Funded","412035","374577.27","37457.73","412035","412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development",NA,NA,NA,NA,"412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development",NA,NA,NA,NA,"394414",NA,NA,NA,NA,NA,NA
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development",NA,NA,NA,NA,"412035","412035",374577,"374577","37458",37458,"412035"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development",NA,NA,NA,NA,"91192","91192",82902,"82902","8290",8290,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development",NA,NA,NA,NA,"412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","412005","374550","37455","412005","412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","412005","374550","37455","412005","394414",NA,NA,NA,NA,NA,NA
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","412005","374550","37455","412005","412035","412035",374577,"374577","37458",37458,"412035"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","412005","374550","37455","412005","91192","91192",82902,"82902","8290",8290,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","412005","374550","37455","412005","412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","412035","374577.27","37457.73","412035","412005","412005",374550,"374550","37455",37455,"412005"
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","412035","374577.27","37457.73","412035","394414",NA,NA,NA,NA,NA,NA
"(ATSG) AT Act State Grants for Assistive Technology","24-0380-P0003","Wyoming Institute for Disabilities WIND","College of Health Sciences","Teresa Diane Wofford",2024-10-09,NA,"10/25/2024 14:47","Funded","2024","October","In Development","412035","374577.27","37457.73","412035","412035","412035",374577,"374577","37458",37458,"412035"
