"PI Unit","College (Subdivision)","Proposal #","Project Title","PI","Proposal Created Date","Submission Date","Funded Date","Proposal_status","Year","Month"
"Accounting & Finance","College of Business","23-1127-P0001","Low Income Taxpayer Clinic","Nicole Y. Choi",2023-04-27,NA,NA,"Funded","2023","April"
"Accounting & Finance","College of Business","24-0026-P0001","Access to Capital Markets and Education Outcomes:  An Analysis of Moody’s 2010 Rating Recalibration on Public Education Bond Financing and Subsequent Educational Achievements","Ali Nejadmalayeri",2023-07-11,"8/14/2023 15:38",NA,"Not Funded Yet","2023","July"
"Accounting & Finance","College of Business","23-1781-P0001","POSE: Phase 2: Web3 tokenization and governance for the Linux Found","Ali Nejadmalayeri",2023-06-23,NA,NA,"Not Funded Yet","2023","June"
"Accounting & Finance","College of Business","25-0028-P0001","William T Grant Foundation | Improving the Use of Research Evidence","Ali Nejadmalayeri",2024-07-19,"8/12/2024 12:26",NA,"Not Funded Yet","2024","July"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","23-0653-P0001","Hatch-Regular Capacity FY21","Eric P Webster",2023-04-27,NA,NA,"Funded","2023","April"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","23-0657-P0001","Hatch-Multistate Capacity FY21","Eric P Webster",2023-04-27,NA,NA,"Funded","2023","April"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","23-1851-P0001","Operation and Maintenance of the Wyoming State Seed Laboratory","Eric P Webster",2023-06-27,NA,"7/19/2023 10:02","Funded","2023","June"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","23-1851-P0002","Operation and Maintenance of the Wyoming State Seed Laboratory","Eric P Webster",2024-05-17,NA,"7/9/2024 13:30","Funded","2024","May"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","25-0078-P0001","FY2025 The Hatch Act of 1887 (Multistate Research Fund)","Eric P Webster",2024-08-22,NA,NA,"Not Funded Yet","2024","August"
"Agricultural Experiment Station","College of Agriculture, Life Sciences & Natural Resources","25-0451-P0001","IMAGINE and Sheridan County W&P Annual Grass Management","Jaycie Nicole Arndt",2025-01-17,NA,NA,"Not Funded Yet","2025","January"
