"Proposal #","PI Unit","College (Subdivision)","Project Title","PI","Proposal Created Date","Submission Date","Funded Date","Proposal_status","Year","Month","Status"
"23-0066-P0002","Wyo Natural Diversity Database","Research","Plant Species Verification and Checklists for Northern Great Plains Parks","Bonnie L Heidel",2024-06-03,"7/18/2024 9:31","7/18/2024 9:31","Funded","2024","June","Funded"
"23-0446-P0002","Civil & Architectural Engineering & Construction Management","College of Engineering & Physical Sciences","Hazardous Materials Commodity Flow Study 2019-2021","Yu Song",2024-06-26,"9/4/2024 13:00","9/25/2024 16:04","Funded","2024","June","Funded"
"23-0530-P0002","Plant Sciences","College of Agriculture, Life Sciences & Natural Resources","Weed Management in Sugarbeet","Andrew R. Kniss",2024-06-25,"7/2/2024 8:42","8/8/2024 15:54","Funded","2024","June","Funded"
"23-0618-P0003","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Upper Missouri Basin Soil Moisture and Snowpack Monitoring: Existing & New Site Retrofits","Virginia B. Paige",2024-08-26,NA,"9/25/2024 9:41","Funded","2024","August","Funded"
"23-0620-P0002","Zoology & Physiology","College of Agriculture, Life Sciences & Natural Resources","An automated analytical system to synthesize environmental data from long-term remote sensors for use in animal migration ecology, 6/10/2020.","Jerod Andrew Merkle",2024-01-29,"2/19/2024 13:36","8/15/2024 11:37","Funded","2024","January","Funded"
"23-0686-P0002","Energy & Petroleum Engineering","College of Engineering & Physical Sciences","Experimental and Numerical Studies of Two-phase Flow Dynamics in Carbonate Reservoir Core Samples","Mohammad Piri",2024-05-01,"11/15/2024 15:45","11/15/2024 15:45","Funded","2024","May","Funded"
"23-0861-P0004","Wyoming Survey & Analysis Center","Research","New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP)","Humphrey John Costello",2024-05-24,"6/26/2024 10:04","8/19/2024 12:40","Funded","2024","May","Funded"
"23-1091-P0002","Psychology","College of Arts & Sciences","Graduate Research Fellowship Program (GRFP) 2021-2026","Kayla A Burd",2024-04-30,"6/26/2024 7:25","7/8/2024 15:25","Funded","2024","April","Funded"
"23-1130-P0002","Ecosystem Science & Management","College of Agriculture, Life Sciences & Natural Resources","Range-Wide Seasonal Habitat Models for Greater Sage-grouse","Jeffrey L. Beck",2024-01-09,"4/24/2024 15:54","4/24/2024 15:55","Funded","2024","January","Funded"
"23-1165-P0003","UW Extension","College of Agriculture, Life Sciences & Natural Resources","Western SARE Professional Development Program Administrative Subaward","Jenna Meeks",2024-04-05,"4/11/2024 8:39","4/25/2024 16:35","Funded","2024","April","Funded"
"23-1173-P0002","Wyoming Institute for Disabilities WIND","College of Health Sciences","National Instructional Materials Accessibility Center (NIMAC); Wyoming Depart of Education Accessible Educational Materials (AEM) 2022-2023","Canyon Leigh Hardesty",2024-11-26,"12/19/2024 11:07","1/17/2025 10:58","Funded","2024","November","Under Consideration"
"23-1179-P0002","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","The Absaroka Fence Initiative, Fencing Project","Tyler Joe Carroll",2024-04-30,"6/25/2024 12:16","8/13/2024 8:56","Funded","2024","April","Funded"
"23-1210-P0002","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","Trail Work on the Continental Divide National Scenic Trail","Tyler Joe Carroll",2024-07-19,"7/22/2024 14:04","7/25/2024 14:39","Funded","2024","July","Funded"
"23-1221-P0003","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","Trail Construction with Pilot Hill Inc. Master Agreement","Tyler Joe Carroll",2024-04-30,"6/25/2024 12:18","8/13/2024 12:44","Funded","2024","April","Funded"
"23-1235-P0002","Haub School of Environment & Natural Resources","Haub School of Environment & Natural Resources","City of Buffalo Trail Maintenance","Tyler Joe Carroll",2024-04-30,"6/25/2024 12:18","8/28/2024 8:53","Funded","2024","April","Funded"
"23-1279-P0002","American Heritage Center","Provost","Wyoming We The People: The Citizen and the Constitution and Project Project Citizen","Paul V.M. Flesher",2024-05-16,"8/2/2024 8:17","9/24/2024 21:32","Funded","2024","May","Funded"
