"Proposal #","Project Title","PI","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","PI Unit","sponsor type","Sponsor Org Type","Created Date","Total Sponsor Costs","Sponsor Deadline","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Funded","Not Funded","Submitted to Sponsor","Under Consideration","Total_submitted_to_sponsor","First_Proposal_Submission_Date","First_Federal_Grant_Submission_Date"
"24-0027-P0001","""4-D architecture of crust formation in the root zone of an oceanic detachment system: new insights from IODP Hole U1601C, Atlantis Massif (mid-Atlantic Ridge)""","Barbara E. John","Funded","Columbia University","National Science Foundation","Geology & Geophysics","3/1/2024","5/30/2025","New",NA,"24-0027","Geology & Geophysics","U.S. Federal Government",NA,"7/11/2023 01:17:26 pm","19993","7/17/2023","'4-D architecture of crust formation in the root zone of an oceanic detachment system; new insights from IODP Hole U1601C, Atlantis Massif (mid-Atantic Ridge)","Status was changed from: Submitted to Sponsor to Under Consideration > Certified > Status was changed from: Under Review to Approved > Status was changed from: Under Consideration to Funded > Proposal Created > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: In Development to Under Review","Tashina Lemons > Barbara John > Farrell Jean Rapp > John Ruess","12/12/2023 11:46:28 am > 7/12/2023 10:11:51 am > 7/14/2023 11:32:56 am > 9/27/2024 09:20:09 am > 7/11/2023 01:17:25 pm > 7/19/2023 11:05:19 am > 7/12/2023 08:51:19 am","Subaward in review and negotiation > Funded. > submitted",NA,NA,"A great project. The department fully supports the efforts of Dr. John. > 7-12-23 > For WyoCloud access, please also add Cindy Wood and Megan Barber.","7/13/2023 10:11:20 am > 7/12/2023 10:11:51 am > 7/14/2023 11:32:56 am > 7/12/2023 10:00:19 am > 7/14/2023 07:38:31 am","Approved > Certified",NA,"15240","4752.6","19992.8","A Subrecipient","No",2023-07-19 11:05:19,"2024-09-27 09:20:09","FY2024","240027A0001",15404,"445MTDC1","College of Engineering & Physical Sciences",1,0,0,0,1,"07/19/2023","07/19/2023"
"24-0380-P0001","(ATSG) AT Act State Grants for Assistive Technology","Sandra Lee Root-Elledge","Funded","Administration for Community Living/Department of Health and Human Services",NA,"Wyoming Institute for Disabilities WIND","10/1/2022","9/30/2024","Other",NA,"24-0380","Wyoming Institute for Disabilities WIND","U.S. Federal Government",NA,"9/6/2023 12:01:31 pm","412035","9/30/2023","(ATSG) AT Act State Grants for Assistive Technology (2301WYATSG) 0-01-2022 - 09-30-2024. Grant award issued under the Assistive Technology Act of 1998, As Amended (AT Act), P.L. 108-364.","Status was changed from: Submitted to Sponsor to Funded > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Approved to Submitted to Sponsor > Proposal Created > Status was changed from: Under Review to Approved","Farrell Jean Rapp > Thomas Abraham Lentner > John Ruess > Sandra Lee Root-Elledge","10/9/2023 02:50:20 pm > 9/6/2023 12:38:13 pm > 9/22/2023 01:38:33 pm > 10/4/2023 12:52:14 pm > 10/4/2023 10:05:18 am > 10/9/2023 02:50:10 pm > 9/6/2023 12:01:31 pm > 10/4/2023 02:25:34 pm","Awarded. > Formula funding by statute.  Already awarded",NA,NA,"See Tasks","10/4/2023 01:47:05 pm > 10/4/2023 12:52:27 pm > 10/4/2023 10:05:34 am > 10/4/2023 12:52:14 pm > 10/4/2023 02:25:35 pm > 9/22/2023 01:38:33 pm","Not Yet Active > Approved > Certified > Declined",NA,"374577.27","37457.73","412035",NA,"Yes",2023-10-09 14:50:10,"2023-10-09 14:50:20","FY2024","240380A0001",37406.64,"10TDC","College of Health Sciences",1,0,0,0,1,"10/05/2023","10/05/2023"
"24-1049-P0001","(R-STEP) Round 2","Sarah Marie Buckhold","Submitted to Sponsor","U.S. Department of Energy",NA,"School of Energy Resources Directors Office","1/1/2025","12/31/2027","New",NA,"24-1049","School of Energy Resources Directors Office","U.S. Federal Government",NA,"5/24/2024 01:11:55 pm","1999750","6/13/2024","Wyoming Education for Community Renewable Energy Development (WE-CRED)","Status was changed from: Approved to Submitted to Sponsor > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Under Review to Approved > Certified > Proposal Created > Status was changed from: In Development to Under Review","Thomas Abraham Lentner > Farrell Jean Rapp > Charles W. Nye > David W. Lucke > Sarah Marie Buckhold","6/13/2024 11:10:47 am > 6/11/2024 07:59:53 am > 6/12/2024 02:33:55 pm > 6/12/2024 10:44:45 am > 5/24/2024 01:11:54 pm > 6/12/2024 09:49:50 am > 6/12/2024 10:07:08 am","Submitted on 06/13/2024 at 11am MT.  See attachments\n",NA,NA,"Exciting proposal. Please rush! > Passes pre-award checks.  Budget attached is milestone/deliverable budget.  Project team is working on operating/WyoCloud budget, which will be ready prior to award.  Sponsor requires a milestone/task budget, so budget meets sponsor guidance.","6/12/2024 02:33:55 pm > 6/12/2024 10:44:45 am > 6/12/2024 10:46:30 am > 6/12/2024 01:10:54 pm > 6/12/2024 09:50:59 am > 6/12/2024 10:07:08 am > 6/12/2024 01:11:04 pm","Approved > Certified",NA,"1492351","507399","1999750",NA,"Yes",2024-06-13 11:10:47,NA,"FY2024","241049A0001",NA,NA,"School of Energy Resources",0,0,1,0,1,"06/13/2024","06/13/2024"
"25-0050-P0001","1a Marginal Conventional Well methane mitigation","Shane Michael Murphy","Under Consideration","U.S. Department of Energy","Colorado State University","School of Energy Resources Directors Office","1/1/2025","8/31/2028","New",NA,"25-0050","Atmospheric Science","U.S. Federal Government",NA,"8/7/2024 09:04:46 am","2827921","8/16/2024","Collaborative Approach to Reducing Emissions (CARE) for MCWs","Status was changed from: In Development to Under Review > Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Under Review to Approved > Certified > Proposal Created > Status was changed from: Approved to Submitted to Sponsor","Thomas Abraham Lentner > Farrell Jean Rapp > Shane Michael Murphy > David W. Lucke","8/18/2024 11:45:59 am > 12/23/2024 12:33:37 pm > 8/19/2024 04:31:04 pm > 8/19/2024 06:18:28 am > 8/7/2024 09:04:45 am > 8/22/2024 08:16:05 am","CSU notified SER on 12/20/2024 > Submitted to prime applicant by department in pieces from 8/16 - 8/21/24.",NA,NA,"Passes pre-award check.  No cost share commitment.  Subaward application through CSU to DOE.  CSU would like signed LOI on Monday, 8/19/2024","8/19/2024 06:18:28 am > 8/19/2024 09:10:04 am > 8/19/2024 03:23:35 pm > 8/18/2024 11:46:49 am > 8/19/2024 04:31:05 pm","Certified > Approved",NA,"1987858","840062","2827921","A Subrecipient","No",2024-08-22 08:16:05,NA,"FY2025","250050A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,1,"08/17/2023","09/22/2023"
"24-0874-P0001","2.\tDirect Utilization of Coal for Lithium-Ion Battery Anodes","Caleb Matthew Hill","Submitted to Sponsor","Wyonics, LLC","U.S. Department of Energy","Chemistry","7/22/2024","7/21/2025","New",NA,"24-0874","Chemistry","Industry",NA,"3/5/2024 04:05:48 pm","80011","3/11/2024","2.\tDirect Utilization of Coal for Lithium-Ion Battery Anodes","Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: Tashina Lemons > Certified > Status was changed from: Under Review to Approved > Proposal Created > Status was changed from: Approved to Submitted to Sponsor","Tashina Lemons > Caleb Matthew Hill > Farrell Jean Rapp","3/7/2024 04:30:33 pm > 3/5/2024 04:17:01 pm > 3/7/2024 04:31:18 pm > 3/8/2024 10:17:42 am > 3/5/2024 04:05:48 pm > 3/11/2024 08:48:23 am","LOI provided to Sponsor 3/8/24",NA,NA,NA,"3/8/2024 08:04:13 am > 3/7/2024 04:31:18 pm > 3/7/2024 07:15:26 pm > 3/8/2024 10:17:43 am > 3/7/2024 04:30:41 pm","Approved > Certified",NA,"58721","21290","80011","A Subrecipient","No",2024-03-11 08:48:23,NA,"FY2024","240874A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,1,"08/08/2023","08/08/2023"
"23-1223-P0002","2022 WYCC Vegetation Management Crew at Grand Teton National Park","James A. Fried","Funded","The Corps Network","National Park Service/Department of the Interior","Haub School of Environment & Natural Resources","3/1/2023","12/31/2023","Non-Competing Continuation",NA,"23-1223","Haub School of Environment & Natural Resources","Non-Profit Organizations",NA,"6/19/2023 01:47:29 pm","60000","2/22/2023","2023 WYCC Vegetation Management Crew at Grand Teton National Park","Proposal Created > Status was changed from: Under Review to Approved > Status was changed from: In Development to Under Review > Status was changed from: Submitted to Sponsor to Funded > Status was changed from: Approved to Submitted to Sponsor > Certified > Assigned to SP Proposal Administrator: Ashley Schnell","Ashley Schnell > Farrell Jean Rapp > James Fried","6/19/2023 01:47:28 pm > 6/19/2023 03:09:32 pm > 6/19/2023 02:25:17 pm > 6/20/2023 09:14:33 am > 6/19/2023 03:13:24 pm > 6/19/2023 02:28:25 pm > 6/21/2023 10:07:52 am","Award received > Legacy, submitted to sponsor",NA,NA,NA,"6/19/2023 03:09:33 pm > 6/19/2023 02:35:25 pm > 6/19/2023 02:35:54 pm > 6/19/2023 02:26:06 pm > 6/19/2023 02:28:25 pm > 6/19/2023 02:35:32 pm","Approved > Certified","20000","57143","2857","80000","A Subrecipient","No",2023-06-19 15:13:24,"2023-06-20 09:14:33","FY2023","231223A0002",NA,NA,"Haub School of Environment & Natural Resources",1,0,0,0,1,"05/25/2023","06/20/2023"
"23-1316-P0002","2022-2023 IOLTA Grant","Dona Playton","Funded","Equal Justice Wyoming Foundation",NA,"College of Law Deans Office","7/1/2023","6/30/2024","Renewal",NA,"23-1316","College of Law Deans Office","Non-Profit Organizations",NA,"6/29/2023 09:16:08 am","10500","4/29/2022","2023-2024 IOLTA Grant","Proposal Created > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Under Review to Approved > Status was changed from: Submitted to Sponsor to Funded > Certified > Status was changed from: In Development to Under Review","Ashley Schnell > Farrell Rapp > Farrell Jean Rapp > Dona Playton","6/29/2023 09:16:08 am > 7/26/2023 02:44:43 pm > 7/14/2023 11:29:59 am > 7/26/2023 02:44:52 pm > 7/13/2023 04:19:23 pm > 6/29/2023 09:36:46 am","Legacy. > Awarded.",NA,NA,NA,"7/14/2023 11:29:59 am > 6/29/2023 09:42:30 am > 7/13/2023 04:19:23 pm > 7/13/2023 04:59:45 pm > 7/14/2023 07:43:55 am","Approved > Certified",NA,"10500","0","10500",NA,"Yes",2023-07-26 14:44:43,"2023-07-26 14:44:52","FY2024","231316A0002",NA,NA,"College of Law",1,0,0,0,1,"07/26/2023",NA
"24-0183-P0001","2023 NAPCS Survey","Brian J. Harnisch","Funded","ADD NEW",NA,"Wyoming Survey & Analysis Center","8/18/2023","1/31/2024","New",NA,"24-0183","Wyoming Survey & Analysis Center","Non-Profit Organizations",NA,"8/18/2023 10:39:14 am","10629.62","8/25/2023","2023 NAPCS pre and post surveys","Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Approved to Submitted to Sponsor > Certified > Status was changed from: In Development to Under Review > Status was changed from: Under Review to Approved > Proposal Created > Status was changed from: Under Consideration to Funded","Tashina Lemons > Michael D. Dorssom > Brian J. Harnisch > Farrell Jean Rapp","9/5/2023 09:42:23 am > 9/5/2023 09:42:10 am > 8/22/2023 01:16:52 pm > 8/18/2023 10:52:10 am > 8/22/2023 02:35:03 pm > 8/18/2023 10:39:14 am > 9/20/2023 01:59:30 pm > 8/21/2023 03:50:28 pm","Currently in contract review > Submitted to Sponsor 8.25.23 > Agreement recieved.",NA,NA,NA,"8/21/2023 02:40:11 pm > 8/21/2023 03:50:28 pm > 8/22/2023 01:20:48 pm > 8/22/2023 01:21:00 pm > 8/22/2023 01:16:52 pm > 8/22/2023 02:35:04 pm > 8/22/2023 01:20:53 pm","Approved > Not Yet Active > Certified",NA,"7932.55","2697.07","10629.62",NA,"Yes",2023-09-05 09:42:10,"2023-09-20 13:59:30","FY2024","240183A0001",NA,NA,"Research",1,0,0,0,1,"09/05/2023",NA
"23-1745-P0001","2023 Sloan Research Fellowship","Diksha Shukla","Not Funded","ADD NEW",NA,"Electrical Engineering & Computer Science","9/15/2023","9/14/2025","New",NA,"23-1745","Electrical Engineering & Computer Science","Non-Profit Organizations",NA,"6/22/2023 03:54:15 pm","75000","9/15/2022","2023 Sloan Research Fellowship","Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded > Proposal Created > Status was changed from: In Development to Submitted to Sponsor","Farrell Jean Rapp > Tashina Lemons > John Ruess","12/23/2024 10:17:33 am > 6/22/2023 03:54:15 pm > 3/15/2024 11:23:00 am","Assuming not funded, as it’s been over 12 months since submission with no updates. > Legacy submission, see greensheet in attachments",NA,"Not Funded",NA,NA,"Not Completed",NA,"75000","0","75000",NA,"Yes",2024-03-15 11:23:00,NA,"FY2024","231745A0001",NA,NA,"College of Engineering & Physical Sciences",0,1,0,0,1,"07/03/2023","07/10/2023"
"23-1963-P0001","2023 State Justice Statistics","Laurel Allison Wimbish","Funded","Department of Justice",NA,"Wyoming Survey & Analysis Center","10/1/2023","9/30/2024","New",NA,"23-1963","Wyoming Survey & Analysis Center","U.S. Federal Government",NA,"6/30/2023 04:16:02 pm","224316","6/8/2023","2023 State Justice Statistics","Proposal Created > Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Under Consideration to Funded > Status was changed from: In Development to Submitted to Sponsor","Tashina Lemons > Farrell Jean Rapp","6/30/2023 04:16:02 pm > 9/18/2023 03:30:46 pm > 10/3/2023 09:35:39 am > 9/18/2023 03:16:51 pm","Notice of Award recieved > Funded. > Legacy 2023 Data, Greensheet attached, already submitted to sponsor",NA,NA,NA,"9/18/2023 03:16:01 pm","Not Yet Active > Cancelled",NA,"167400","56916","224316",NA,"Yes",2023-09-18 15:16:51,"2023-10-03 09:35:39","FY2024","231963A0001",224316,"34MTDC1","Research",1,0,0,0,1,"06/08/2023","09/18/2023"
