"Proposal #","Project Title","PI","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","PI Unit","sponsor type","Sponsor Org Type","Created Date","Total Sponsor Costs","Sponsor Deadline","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","FY","Project Number","Project Status","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Funded","Submitted to Sponsor","Under Consideration","Not Funded","Transfer","Total_submitted_to_sponsor","First_Proposal_Submission_Date","First_Federal_Grant_Submission_Date","Matched_Pattern","Project Manager","Joining Date","Total Start Up Funds","Months_to_submit_first_proposal","Months_to_submit_first_federal_grant"
"25-0551-P0001","2025 BBRF","Alexander R. French","Submitted to Sponsor","Brain and Behavior Research Foundation",NA,"School of Pharmacy","1/15/2026","1/14/2028","New",NA,"25-0551","School of Pharmacy","Non-Profit Organizations",NA,"2/17/2025 08:59:03 pm","69662","3/12/2025","Identification of synthesia-mediating neurons in sensory cortices in mice.","Proposal Created","Alexander R. French","2/17/2025 08:59:03 pm",NA,NA,NA,"Passes pre-award checks.  Sponsor limits on IDC approved by DVPR","2/27/2025 09:39:41 am","Approved",NA,"69662","0",69662,NA,"Yes",2025-03-11 19:08:59,NA,"FY2025","250551A0001",NA,NA,NA,"College of Health Sciences",0,1,0,0,0,1,2025-03-11,NA,"Alexander.*French","Alexander French",2024-08-20," 350000.00",6.8,NA
"25-0253-P0001","A Machine Learning Approach for Predicting Risk of Bovine Congestive Heart Failure","Sean Field","Not Funded","National Institute of Food and Agriculture/Department of Agriculture",NA,"School of Computing","6/1/2025","5/31/2027","New",NA,"25-0253","School of Computing","U.S. Federal Government",NA,"10/23/2024 09:15:04 am","299868","11/14/2024","DSFAS: A Machine Learning Approach for Predicting Risk of Bovine Congestive Heart Failure","Proposal Created","Sean Field","10/23/2024 09:15:04 am",NA,NA,"Not Funded","Passes pre-award checks.  NIFA with 30% TFFA for IDC.  IACUC approval may be required at time of award. No cost share.","11/12/2024 04:46:01 pm","Approved",NA,"218842","81026",299868,NA,"Yes",2024-11-15 15:17:34,NA,"FY2025","250253A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,1,2024-11-15,2024-11-15,"Sean.*Field","Sean Field",2023-08-22," 210000.00",15,15
"24-1113-P0001","A Novel IL-35 Expressing Probiotic Platform for Inducing Allergen Specific Tolerance","David W Pascual","Funded","Virtici, LLC","National Institutes of Health/Department of Health and Human Services","Veterinary Science","7/1/2024","6/30/2025","New",NA,"24-1113","Veterinary Science","Industry",NA,"6/28/2024 10:06:46 am","20750","7/3/2024","Demonstrate that VTC-B35 significantly reduces symptoms in the mouse CIA model of RA.","Proposal Created","Kristi Hargis Stockdale","6/28/2024 10:06:45 am",NA,NA,NA,NA,"7/2/2024 07:18:53 am","Approved",NA,"14360","6390",20750,"A Subrecipient","No",2024-07-10 14:10:50,2024-07-10 08:10:59,"FY2025","241113A0001","ACTIVE",20750,"445MTDC1","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,0,1,2024-02-28,2024-02-28,"David.*Pascual","David Pascual",2024-03-27,"  73000.00",-0.9,-0.9
"25-0368-P0001","A Novel Immune-modulating Probiotic for Treating Rheumatoid Arthritis","David W Pascual","Submitted to Sponsor","Virtici, LLC","National Institutes of Health/Department of Health and Human Services","Veterinary Science","1/1/2026","12/31/2028","New",NA,"25-0368","Veterinary Science","Industry",NA,"12/11/2024 02:13:25 pm","305615","12/20/2024","A Novel Immune-modulating Probiotic for Treating Rheumatoid Arthritis","Proposal Created","John Ruess","12/11/2024 02:13:24 pm",NA,NA,NA,NA,"12/11/2024 03:42:00 pm","Approved",NA,"211498","105749",305615,"A Subrecipient","No",2025-02-03 15:42:53,NA,"FY2025","250368A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2024-02-28,2024-02-28,"David.*Pascual","David Pascual",2024-03-27,"  73000.00",-0.9,-0.9
"24-0785-P0001","A Novel Immunological-Directed Synthetic Biology-Based Drug for the Treatment of Multiple Sclerosis","David W Pascual","Transfer","ADD NEW","National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services","Veterinary Science","4/24/2023","3/31/2027","Transfer",NA,"24-0785","Veterinary Science","U.S. Federal Government",NA,"2/2/2024 10:31:40 am","118191","3/27/2024","A Novel Immunological-Directed Synthetic Biology-Based Drug for the Treatment of Multiple Sclerosis","Proposal Created","David W Pascual","2/2/2024 10:31:39 am",NA,NA,NA,NA,"3/5/2024 08:42:11 am","Approved",NA,"81793","36398",118191,"A Subrecipient","No",2024-05-20 18:21:54,2024-05-20 12:22:07,"FY2024","240785A0001","ACTIVE",237918.36,"445MTDC1","College of Agriculture, Life Sciences & Natural Resources",0,0,0,0,1,0,2024-02-28,2024-02-28,"David.*Pascual","David Pascual",2024-03-27,"  73000.00",-0.9,-0.9
"24-0786-P0001","A Novel Immunologically Directed Probiotic for the Treatment of Type 1 Diabetes","David W Pascual","Transfer","ADD NEW","National Institutes of Health/Department of Health and Human Services","Veterinary Science","7/1/2022","6/30/2024","Transfer",NA,"24-0786","Veterinary Science","U.S. Federal Government",NA,"2/2/2024 11:00:40 am","260734","3/27/2024","A Novel Immunologically Directed Probiotic for the Treatment of Type 1 Diabetes","Proposal Created","David W Pascual","2/2/2024 11:00:40 am",NA,NA,NA,NA,"3/5/2024 08:44:36 am","Approved",NA,"180439","80295",260734,"A Subrecipient","No",2024-06-26 17:03:11,2024-06-26 11:03:19,"FY2024","240786A0001","ACTIVE",117390,"445MTDC1","College of Agriculture, Life Sciences & Natural Resources",0,0,0,0,1,0,2024-02-28,2024-02-28,"David.*Pascual","David Pascual",2024-03-27,"  73000.00",-0.9,-0.9
"24-0984-P0001","AARC","Eleanor Gulick","Funded","American Speech‐Language‐Hearing Association",NA,"Communication Disorders","9/1/2024","2/28/2026","New",NA,"24-0984","Communication Disorders","Non-Profit Organizations","Non-Profit","4/26/2024 01:05:43 pm","5000","4/30/2024","ASHA Advancing Academic-Research Careers (AARC)","Proposal Created","Tashina Lemons","4/26/2024 01:05:43 pm",NA,NA,NA,NA,NA,"Not Completed",NA,"5000","0",5000,NA,"Yes",2024-04-30 16:48:12,2024-09-20 13:09:26,"FY2024","240984A0001","ACTIVE",5000,"NONE","College of Health Sciences",1,0,0,0,0,1,2024-04-30,NA,"Eleanor.*Gulick","Eleanor Gulick",2024-08-20,"  22048.00",-3.7,NA
"25-0388-P0001","ADAC-ARCTIC Special RFP – Arctic Resilience","Jason Kelly Hawes","Under Consideration","University of Alaska, Anchorage","Department of Homeland Security","School of Computing","4/1/2025","3/31/2030","New",NA,"25-0388","School of Computing","Institutions of Higher Education",NA,"12/20/2024 08:36:13 am","290880","1/17/2025","Critical Infrastructure Resilience in Alaska’s Railbelt Region","Proposal Created","Thomas Abraham Lentner","12/20/2024 08:36:13 am",NA,NA,NA,"Passes pre-award checks.  Subaward from existing award through U Alaska Anchorage.","1/17/2025 08:49:56 am","Approved",NA,"201301","89579",290880,"A Subrecipient","No",2025-01-30 17:19:11,NA,"FY2025","250388A0001",NA,NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,0,1,2024-09-16,NA,"Jason.*Hawes","Jason Hawes",2025-01-02," 115276.82",-3.6,NA
"25-0448-P0001","AI-ENGAGE: Disentangling Biophysical and Human Influences on Agroecosystem Resilience on Soil Organic Carbon (SOC) dynamics","Jorge Gonzalo Nicolas Irisarri","Submitted to Sponsor","National Science Foundation",NA,"Ecosystem Science & Management","11/1/2025","10/31/2028","New",NA,"25-0448","Ecosystem Science & Management","U.S. Federal Government",NA,"1/16/2025 02:08:54 pm","$398953","1/22/2025","AI-ENGAGE: Disentangling Biophysical and Human Influences on Agroecosystem Resilience on Soil Organic Carbon (SOC) dynamics","Proposal Created","John Ruess","1/16/2025 02:08:54 pm",NA,NA,NA,NA,"1/16/2025 02:51:40 pm","Approved",NA,"$276092","$122861",398953,NA,"Yes",2025-01-22 21:13:28,NA,"FY2025","250448A0001",NA,NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,1,2025-01-22,2025-01-22,"Jorge.*Irisarri","Jorge Irisarri",2024-09-03,"  98668.26",4.7,4.7
"25-0261-P0001","AdaptAg Atlas:  Enhancing Irrigated Agricultural Resilience through Web-Based Water Valuation and Climate Adaptation Strategies","Bryan Leonard","Submitted to Sponsor","ADD NEW","National Institute of Food and Agriculture/Department of Agriculture","Haub School of Environment & Natural Resources","7/1/2025","6/30/2028","New",NA,"25-0261","Haub School of Environment & Natural Resources","Non-Profit Organizations",NA,"10/25/2024 12:27:49 pm","320054","11/1/2024","DSFAS-CIN-CM/FM:  AdaptAg Atlas:  Enhancing Irrigated Agricultural Resilience through Web-Based Valuation and Climate Adaptation Strategies","Proposal Created","Shawn A Bunning","10/25/2024 12:27:48 pm",NA,NA,NA,"Passes pre-award checks.  IDC capped at 30% of total funds requested.  No compliance issues identified.  Subaward application due to prime applicant ASAP.","11/4/2024 02:00:08 pm","Approved",NA,"224038","96016",320054,"A Subrecipient","No",2024-11-05 17:41:05,NA,"FY2025","250261A0001",NA,NA,NA,"Haub School of Environment & Natural Resources",0,1,0,0,0,1,2024-11-05,NA,"Bryan.*Leonard","Bryan Leonard",2024-08-20," 171225.00",2.6,NA
