"Proposal #","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Project #","Created Date","Total Sponsor Costs","Sponsor Deadline","add new prime sponsor","add new sponsor","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Proposal Id","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Closed","Funded","Not Submitted to Sponsor","Submitted to Sponsor","In Development","Under Consideration","Transfer","Under Review","Approved","Total_submitted_to_sponsor"
"24-0027-P0001","""4-D architecture of crust formation in the root zone of an oceanic detachment system: new insights from IODP Hole U1601C, Atlantis Massif (mid-Atlantic Ridge)""","Barbara E. John","Geology & Geophysics","Funded","Columbia University","National Science Foundation","Geology & Geophysics","3/1/2024","5/30/2025","New","24-0027","7/11/2023 01:17:26 PM","19993","7/17/2023 12:00:00 AM",NA,NA,"'4-D architecture of crust formation in the root zone of an oceanic detachment system; new insights from IODP Hole U1601C, Atlantis Massif (mid-Atantic Ridge)","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Under Consideration to Funded","Barbara John > Farrell Jean Rapp > John Ruess > Tashina Lemons","7/11/2023 01:17:25 PM > 7/12/2023 08:51:19 AM > 7/12/2023 10:11:51 AM > 7/14/2023 11:32:56 AM > 7/19/2023 11:05:19 AM > 12/12/2023 11:46:28 AM > 9/27/2024 09:20:09 AM","submitted > Subaward in review and negotiation > Funded.",NA,"fc53c7a4-62b3-48c1-a29f-670b30fb69d4",NA,"For WyoCloud access, please also add Cindy Wood and Megan Barber. > A great project. The department fully supports the efforts of Dr. John. > 7-12-23","7/14/2023 11:32:56 AM > 7/14/2023 07:38:31 AM > 7/13/2023 10:11:20 AM > 7/12/2023 10:11:51 AM > 7/12/2023 10:00:19 AM","Approved > Certified",NA,"15240","4752.6","19992.8","A Subrecipient","No",2023-07-19 11:05:19,"2024-09-27 09:20:09","19993","15240","4752.6","19992.8","FY2024","240027A0001",15404,"445MTDC1","College of Engineering & Physical Sciences",0,1,0,0,0,0,0,0,0,1
"24-0380-P0001","(ATSG) AT Act State Grants for Assistive Technology","Sandra Lee Root-Elledge","Wyoming Institute for Disabilities WIND","Funded","Administration for Community Living/Department of Health and Human Services",NA,"Wyoming Institute for Disabilities WIND","10/1/2022","9/30/2024","Other","24-0380","9/6/2023 12:01:31 PM","412035","9/30/2023 12:00:00 AM",NA,NA,"(ATSG) AT Act State Grants for Assistive Technology (2301WYATSG) 0-01-2022 - 09-30-2024. Grant award issued under the Assistive Technology Act of 1998, As Amended (AT Act), P.L. 108-364.","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Thomas Abraham Lentner > John Ruess > Sandra Lee Root-Elledge > Farrell Jean Rapp","9/6/2023 12:01:31 PM > 9/6/2023 12:38:13 PM > 9/22/2023 01:38:33 PM > 10/4/2023 10:05:18 AM > 10/4/2023 12:52:14 PM > 10/4/2023 02:25:34 PM > 10/9/2023 02:50:10 PM > 10/9/2023 02:50:20 PM","Formula funding by statute.  Already awarded > Awarded.",NA,"5fd0b21e-013a-404b-a6f3-3d9477873d02",NA,"See Tasks","10/4/2023 02:25:35 PM > 10/4/2023 01:47:05 PM > 10/4/2023 12:52:27 PM > 10/4/2023 12:52:14 PM > 10/4/2023 10:05:34 AM > 9/22/2023 01:38:33 PM","Approved > Certified > Declined > Not Yet Active",NA,"374577.27","37457.73","412035",NA,"Yes",2023-10-09 14:50:10,"2023-10-09 14:50:20","412035","374577.27","37457.73","412035","FY2024","240380A0001",38242.11,"10TDC","College of Health Sciences",0,1,0,0,0,0,0,0,0,1
"23-1328-P0001","(CFA-22-27138) Engaging Wyoming Communities in an Environmental Justice Approach for Advanced Nuclear Energy Facility Siting",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1328","4/27/2023 07:57:35 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:57:35 PM > 4/27/2023 07:57:38 PM","Status set by bulk loader",NA,"11135973-244a-408c-9f55-854689e82566","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231328A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-0625-P0001","(MT/DAK) Pryor Mountain Wind Energy and Sage-Grouse Study",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0625","4/27/2023 07:08:11 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:08:11 PM > 4/27/2023 07:08:14 PM","Status set by bulk loader",NA,"fa57ece7-3762-4776-9877-3c8f8a239e7c","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230625A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"24-1049-P0001","(R-STEP) Round 2","Sarah Marie Buckhold","School of Energy Resources Directors Office","Submitted to Sponsor","U.S. Department of Energy",NA,"School of Energy Resources Directors Office","1/1/2025","12/31/2027","New","24-1049","5/24/2024 01:11:55 PM","1999750","6/13/2024 12:00:00 AM",NA,NA,"Wyoming Education for Community Renewable Energy Development (WE-CRED)","Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","David W. Lucke > Thomas Abraham Lentner > Sarah Marie Buckhold > Charles W. Nye > Farrell Jean Rapp","5/24/2024 01:11:54 PM > 6/11/2024 07:59:53 AM > 6/12/2024 09:49:50 AM > 6/12/2024 10:07:08 AM > 6/12/2024 10:44:45 AM > 6/12/2024 02:33:55 PM > 6/13/2024 11:10:47 AM","Submitted on 06/13/2024 at 11am MT.  See attachments
",NA,"efbc9eae-c629-4b3d-a82d-f8b5919f3af0",NA,"Passes pre-award checks.  Budget attached is milestone/deliverable budget.  Project team is working on operating/WyoCloud budget, which will be ready prior to award.  Sponsor requires a milestone/task budget, so budget meets sponsor guidance. > Exciting proposal. Please rush!","6/12/2024 09:50:59 AM > 6/12/2024 10:44:45 AM > 6/12/2024 10:07:08 AM > 6/12/2024 01:11:04 PM > 6/12/2024 01:10:54 PM > 6/12/2024 10:46:30 AM > 6/12/2024 02:33:55 PM","Approved > Certified",NA,"1492351","507399","1999750",NA,"Yes",2024-06-13 11:10:47,NA,"1999750","1492351","507399","1999750","FY2024","241049A0001",NA,NA,"School of Energy Resources",0,0,0,1,0,0,0,0,0,1
"24-0763-P0001","1.	TITLE OF PROJECT (Do not exceed 81 characters, including spaces and punctuation.) Assessing protein citrullination and autoantibody generation in the lungs and serum following asbestos exposure",NA,NA,"Closed","National Cancer Institute/National Institutes of Health/Department of Health and Human Services",NA,"Zoology & Physiology Department","5/1/2024","4/30/2025","New","24-0763","1/29/2024 02:06:35 PM","28652","2/2/2024 12:00:00 AM",NA,NA,"1.	TITLE OF PROJECT (Do not exceed 81 characters, including spaces and punctuation.) Assessing protein citrullination and autoantibody generation in the lungs and serum following asbestos exposure","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Withdrawn","Brian David Cherrington > Tashina Lemons","1/29/2024 02:06:35 PM > 1/29/2024 02:13:16 PM","Closing, updated to other proposal for better flow of information",NA,"b5315be6-a017-456a-80e7-bd9c611a3c62","Withdrawn",NA,"1/29/2024 02:13:04 PM","Cancelled > Not Yet Active",NA,"19952","8700","28652",NA,"Yes",NA,NA,"28652","19952","8700","28652",NA,"240763A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-0018-P0001","18th Century Life Journal",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0018","4/27/2023 06:24:27 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 06:24:27 PM > 4/27/2023 06:24:30 PM","Status set by bulk loader",NA,"69c6a8b9-44a0-4256-85ff-eda3e62d3e47","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230018A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-0459-P0001","19-ATDM19-0075 Two-way momentum coupling between hydrometeors and small-scale air motions: Effects on precipitation and drop size distributions",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0459","4/27/2023 06:56:43 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 06:56:43 PM > 4/27/2023 06:56:46 PM","Status set by bulk loader",NA,"bbb8e1c2-21a0-4da5-a245-030553e3eafb","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230459A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-0429-P0001","19-EPSCoR-0022, Artificially Intelligent Manufacturing of Flexible Electronics",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0429","4/27/2023 06:54:35 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 06:54:35 PM > 4/27/2023 06:54:38 PM","Status set by bulk loader",NA,"3a94aaf7-088d-4245-862e-51d2864f69a6","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230429A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"25-0050-P0001","1a Marginal Conventional Well methane mitigation","Shane Michael Murphy","Atmospheric Science","Under Consideration","U.S. Department of Energy","Colorado State University","School of Energy Resources Directors Office","1/1/2025","8/31/2028","New","25-0050","8/7/2024 09:04:46 AM","2827921","8/16/2024 12:00:00 AM",NA,NA,"Collaborative Approach to Reducing Emissions (CARE) for MCWs","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Under Consideration","David W. Lucke > Thomas Abraham Lentner > Shane Michael Murphy > Farrell Jean Rapp","8/7/2024 09:04:45 AM > 8/18/2024 11:45:59 AM > 8/19/2024 06:18:28 AM > 8/19/2024 04:31:04 PM > 8/22/2024 08:16:05 AM > 12/23/2024 12:33:37 PM","Submitted to prime applicant by department in pieces from 8/16 - 8/21/24. > CSU notified SER on 12/20/2024",NA,"aa853bb3-ba00-4d95-8034-333a727debf4",NA,"Passes pre-award check.  No cost share commitment.  Subaward application through CSU to DOE.  CSU would like signed LOI on Monday, 8/19/2024","8/18/2024 11:46:49 AM > 8/19/2024 06:18:28 AM > 8/19/2024 03:23:35 PM > 8/19/2024 09:10:04 AM > 8/19/2024 04:31:05 PM","Approved > Certified",NA,"1987858","840062","2827921","A Subrecipient","No",2024-08-22 08:16:05,NA,"2827921","1987858","840062","2827921","FY2025","250050A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,0,0,1,0,0,0,1
