"Proposal #","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Project #","Created Date","Total Sponsor Costs","Sponsor Deadline","add new prime sponsor","add new sponsor","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Proposal Id","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Closed","Funded","Not Submitted to Sponsor","Submitted to Sponsor","In Development","Under Consideration","Under Review","Approved","Total_submitted_to_sponsor"
"25-0551-P0001","2025 BBRF","Alexander R. French","School of Pharmacy","In Development","Brain and Behavior Research Foundation",NA,"School of Pharmacy","1/15/2026","1/14/2028","New","25-0551",2025-02-17 08:59:00,"70000","3/12/2025 12:00:00 AM",NA,NA,"Identification of synthesia-mediating neurons in sensory cortices in mice.","Proposal Created","Alexander R. French","2/17/2025 08:59:03 PM",NA,NA,"b0bf40ed-2b18-4d1e-ba4e-4b1aa929f8a7",NA,NA,NA,"Not Yet Active",NA,"70000","0","70000",NA,"Yes","70000","70000","0","70000","FY2025","250551A0001",NA,NA,"College of Health Sciences",0,0,0,0,1,0,0,0,0
"25-0253-P0001","A Machine Learning Approach for Predicting Risk of Bovine Congestive Heart Failure","Sean Field","School of Computing","Submitted to Sponsor","National Institute of Food and Agriculture/Department of Agriculture",NA,"School of Computing","6/1/2025","5/31/2027","New","25-0253",2024-10-23 09:15:00,"299868","11/14/2024 12:00:00 AM",NA,NA,"DSFAS: A Machine Learning Approach for Predicting Risk of Bovine Congestive Heart Failure","Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Sean Field > Janissa Marie Analissia Martinez > Thomas Abraham Lentner > Hannah Crocker Cunningham > Farrell Jean Rapp","10/23/2024 09:15:04 AM > 10/24/2024 10:47:06 AM > 11/12/2024 04:36:58 PM > 11/12/2024 04:44:30 PM > 11/12/2024 04:45:12 PM > 11/12/2024 04:52:21 PM > 11/12/2024 05:40:16 PM > 11/14/2024 02:44:24 PM > 11/14/2024 02:45:19 PM > 11/14/2024 02:45:44 PM > 11/15/2024 08:17:34 AM > 12/5/2024 10:05:10 AM","Updating form fields
 > Submitted 11/14/2024 at 2:50pm > Not funded per notice from Sponsor.",NA,"29941d78-9f58-42f0-807c-09d9b53262dc","Not Funded","Passes pre-award checks.  NIFA with 30% TFFA for IDC.  IACUC approval may be required at time of award. No cost share. > Doesn't have an admin listed, please add Beth Leonard for SoC. > A&S Dean's Office approval. VN","11/12/2024 04:46:01 PM > 11/12/2024 05:40:16 PM > 11/12/2024 04:52:21 PM > 11/14/2024 01:06:10 PM > 11/14/2024 07:41:25 AM > 11/13/2024 08:09:20 AM > 11/13/2024 06:41:03 AM > 11/12/2024 06:14:20 PM > 11/14/2024 02:45:44 PM","Approved > Certified",NA,"218842","81026","299868",NA,"Yes","299868","218842","81026","299868","FY2025","250253A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
"24-1113-P0001","A Novel IL-35 Expressing Probiotic Platform for Inducing Allergen Specific Tolerance","David W Pascual","Veterinary Science","Funded","Virtici, LLC","National Institutes of Health/Department of Health and Human Services","Veterinary Science","7/1/2024","6/30/2025","New","24-1113",2024-06-28 10:06:00,"20750","7/3/2024 12:00:00 AM",NA,NA,"Demonstrate that VTC-B35 significantly reduces symptoms in the mouse CIA model of RA.","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Kristi Hargis Stockdale > David W Pascual > Farrell Jean Rapp","6/28/2024 10:06:45 AM > 7/2/2024 07:18:43 AM > 7/3/2024 08:53:35 AM > 7/3/2024 04:30:31 PM > 7/10/2024 08:10:50 AM > 7/10/2024 08:10:59 AM","submitted > Funded.",NA,"5f99665f-a82f-4316-819a-b27920fefae8",NA,NA,"7/2/2024 07:18:53 AM > 7/3/2024 08:53:35 AM > 7/3/2024 04:27:21 PM > 7/3/2024 04:27:17 PM > 7/3/2024 04:30:32 PM","Approved > Certified",NA,"14360","6390","20750","A Subrecipient","No","20750","14360","6390","20750","FY2024","241113A0001",20750,"445MTDC1","College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,0,0,0,1
"25-0368-P0001","A Novel Immune-modulating Probiotic for Treating Rheumatoid Arthritis","David W Pascual","Veterinary Science","Submitted to Sponsor","Virtici, LLC","National Institutes of Health/Department of Health and Human Services","Veterinary Science","1/1/2026","12/31/2028","New","25-0368",2024-12-11 02:13:00,"305615","12/20/2024 12:00:00 AM",NA,NA,"A Novel Immune-modulating Probiotic for Treating Rheumatoid Arthritis","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","John Ruess > Marissa K. Gannon > David W Pascual > Farrell Jean Rapp","12/11/2024 02:13:24 PM > 12/11/2024 03:41:40 PM > 12/11/2024 03:46:37 PM > 12/12/2024 08:39:08 AM > 2/3/2025 08:42:53 AM","submitted",NA,"4584129a-316a-4db1-82ed-aa76f108e6f4",NA,NA,"12/11/2024 03:42:00 PM > 12/11/2024 03:46:37 PM > 12/12/2024 06:44:45 AM > 12/12/2024 06:44:40 AM > 12/12/2024 08:39:09 AM","Approved > Certified",NA,"211498","105749","305615","A Subrecipient","No","305615","211498","105749","305615","FY2025","250368A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,0,0,0,1
"24-0785-P0001","A Novel Immunological-Directed Synthetic Biology-Based Drug for the Treatment of Multiple Sclerosis","David W Pascual","Veterinary Science","Funded","ADD NEW","National Institute of Allergy and Infectious Diseases/National Institutes of Health/Department of Health and Human Services","Veterinary Science","4/24/2023","3/31/2027","Transfer","24-0785",2024-02-02 10:31:00,"118191","3/27/2024 12:00:00 AM",NA,"Rise Therapeutics","A Novel Immunological-Directed Synthetic Biology-Based Drug for the Treatment of Multiple Sclerosis","Proposal Created > Status was changed from: In Development to Under Review > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","David W Pascual > John Ruess > Farrell Jean Rapp","2/2/2024 10:31:39 AM > 3/5/2024 08:42:02 AM > 3/19/2024 12:32:04 PM > 3/20/2024 09:55:56 AM > 3/20/2024 09:56:27 AM > 5/20/2024 12:21:54 PM > 5/20/2024 12:22:07 PM","PI Transfer. > Funded. PI Transfer.",NA,"d32b16a3-96c8-466d-aa7a-197507ed3645",NA,NA,"3/5/2024 08:42:11 AM > 3/19/2024 12:32:04 PM > 3/19/2024 03:36:51 PM > 3/20/2024 06:42:28 AM > 3/20/2024 09:56:27 AM","Approved > Certified",NA,"81793","36398","118191","A Subrecipient","No","118191","81793","36398","118191","FY2024","240785A0001",237918.36,"445MTDC1","College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,0,0,0,1
"24-0786-P0001","A Novel Immunologically Directed Probiotic for the Treatment of Type 1 Diabetes","David W Pascual","Veterinary Science","Funded","ADD NEW","National Institutes of Health/Department of Health and Human Services","Veterinary Science","7/1/2022","6/30/2024","Transfer","24-0786",2024-02-02 11:00:00,"260734","3/27/2024 12:00:00 AM",NA,"Rise Therapeutics","A Novel Immunologically Directed Probiotic for the Treatment of Type 1 Diabetes","Proposal Created > Assigned to SP Proposal Administrator: Courtney Peatross > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Assigned to SP Proposal Administrator: John Ruess > Unassigned from SP Proposal Administrator: Courtney Peatross > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","David W Pascual > Tashina Lemons > John Ruess > Farrell Jean Rapp > Courtney Peatross","2/2/2024 11:00:40 AM > 2/8/2024 09:16:25 AM > 3/4/2024 04:18:52 PM > 3/4/2024 04:37:08 PM > 3/5/2024 08:34:40 AM > 3/5/2024 08:45:54 AM > 3/5/2024 12:19:10 PM > 3/12/2024 02:39:30 PM > 3/12/2024 02:39:34 PM > 6/26/2024 11:03:11 AM > 6/26/2024 11:03:19 AM","need new budget info > PI Transfer. Submitted in March 2024. Awarded. > Funded.",NA,"499663c0-9f65-4804-a200-8d4600b2632f",NA,"Please note only 5% of credit has been allocated","3/5/2024 08:44:36 AM > 3/5/2024 08:45:54 AM > 3/5/2024 08:51:22 AM > 3/5/2024 08:51:37 AM > 3/5/2024 12:19:10 PM","Approved > Certified",NA,"180439","80295","260734","A Subrecipient","No","260734","180439","80295","260734","FY2024","240786A0001",117390,"445MTDC1","College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,0,0,0,1
"24-0984-P0001","AARC","Eleanor Gulick","Communication Disorders","Funded","American Speech‐Language‐Hearing Association",NA,"Communication Disorders","9/1/2024","2/28/2026","New","24-0984",2024-04-26 01:05:00,"5000","4/30/2024 12:00:00 AM",NA,NA,"ASHA Advancing Academic-Research Careers (AARC)","Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Submitted to Sponsor > Unassigned from SP Proposal Administrator: Tashina Lemons > Status was changed from: Submitted to Sponsor to Under Consideration > Form was edited in 'Under Consideration' status > Status was changed from: Under Consideration to Funded","Tashina Lemons > Thomas Abraham Lentner > Inna Willis > Farrell Jean Rapp","4/26/2024 01:05:43 PM > 4/26/2024 01:22:29 PM > 4/29/2024 05:15:42 PM > 4/30/2024 10:48:12 AM > 7/29/2024 02:10:00 PM > 8/16/2024 12:05:37 PM > 8/16/2024 01:02:49 PM > 8/16/2024 01:05:10 PM > 9/20/2024 01:09:26 PM","Submitted to sponsor 4/30/24; proof of submission uploaded as correspondence. > Under consideration per notice from PI. Sponsor is requesting W9 and direct deposit information that has been sent to Tabitha Dayton in Post-Award. > Funded.",NA,"0e7b1bc2-aed5-4e9d-b530-369c0acd6bc1",NA,NA,NA,"Not Completed",NA,"5000","0","5000",NA,"Yes","5000","5000","0","5000","FY2024","240984A0001",5000,"NONE","College of Health Sciences",0,1,0,0,0,0,0,0,1
"25-0388-P0001","ADAC-ARCTIC Special RFP – Arctic Resilience","Jason Kelly Hawes","School of Computing","Submitted to Sponsor","University of Alaska, Anchorage","Department of Homeland Security","School of Computing","4/1/2025","3/31/2030","New","25-0388",2024-12-20 08:36:00,"290880","1/17/2025 12:00:00 AM",NA,NA,"Critical Infrastructure Resilience in Alaska’s Railbelt Region","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Thomas Abraham Lentner > Janissa Marie Analissia Martinez > Jason Kelly Hawes > Farrell Jean Rapp","12/20/2024 08:36:13 AM > 1/17/2025 08:45:54 AM > 1/17/2025 08:47:28 AM > 1/17/2025 08:48:44 AM > 1/17/2025 09:38:07 AM > 1/17/2025 12:26:55 PM > 1/30/2025 10:19:11 AM","update form fields > Submitted to sponsor 1/22/2025 via email.",NA,"b3508b6d-2f10-464f-91e2-3b90c6140d76",NA,"Passes pre-award checks.  Subaward from existing award through U Alaska Anchorage. > PI has a joint appointment with Haub School which should be included for routing approval. However the deadline appears to be today, and the subcontract to UW appears to be relatively small.
","1/17/2025 08:49:56 AM > 1/17/2025 09:38:07 AM > 1/17/2025 11:33:33 AM > 1/17/2025 11:13:40 AM > 1/17/2025 12:26:55 PM","Approved > Certified",NA,"201301","89579","290880","A Subrecipient","No","290880","201301","89579","290880","FY2025","250388A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,1
"25-0311-P0001","AI-Driven Discovery of Mu and Kappa Opioid Receptor Modulators with Tailored Selectivity Profiles for Substance Use Disorders and Pain Management","Khaled M. Elokely","School of Pharmacy","Submitted to Sponsor","Defense Advanced Research Projects Agency/Department of Defense",NA,"School of Pharmacy",NA,NA,"Pre-proposal","25-0311",2024-11-15 09:22:00,NA,"2/5/2025 12:00:00 AM",NA,NA,"AI-Driven Discovery of Mu and Kappa Opioid Receptor Modulators with Tailored Selectivity Profiles for Substance Use Disorders and Pain Management","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Not Funded","Nicholas A. Giraldo > Farrell Jean Rapp","11/15/2024 09:22:12 AM > 1/13/2025 08:27:08 AM","DARPA did not recommend for a full submission.",NA,"6af8dedf-a5ef-48a3-af3b-bbc25934fe97","Not Funded",NA,NA,"Not Completed",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"FY2025","250311A0001",NA,NA,"College of Health Sciences",0,0,0,1,0,0,0,0,1
"25-0448-P0001","AI-ENGAGE: Disentangling Biophysical and Human Influences on Agroecosystem Resilience on Soil Organic Carbon (SOC) dynamics","Jorge Gonzalo Nicolas Irisarri","Ecosystem Science & Management","Submitted to Sponsor","National Science Foundation",NA,"Ecosystem Science & Management","11/1/2025","10/31/2028","New","25-0448",2025-01-16 02:08:00,NA,"1/22/2025 12:00:00 AM",NA,NA,"AI-ENGAGE: Disentangling Biophysical and Human Influences on Agroecosystem Resilience on Soil Organic Carbon (SOC) dynamics","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","John Ruess > Jorge Gonzalo Nicolas Irisarri > Farrell Jean Rapp","1/16/2025 02:08:54 PM > 1/16/2025 02:51:03 PM > 1/17/2025 03:15:47 PM > 1/20/2025 02:38:57 PM > 1/22/2025 02:13:28 PM","submitted",NA,"420a8bcd-71bc-4aa7-b0ad-026252b0d67f",NA,NA,"1/16/2025 02:51:40 PM > 1/17/2025 03:15:47 PM > 1/17/2025 03:29:40 PM > 1/17/2025 03:29:36 PM > 1/20/2025 02:38:57 PM","Approved > Certified",NA,NA,NA,NA,NA,"Yes","$398953","$276092","$122861","$398953","FY2025","250448A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,0,1,0,0,0,0,1
